_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
24,25,,,1681400461,2.078125,0.0,0.14799999999991087,10661.490688,0.004079913029419057,34854.0,0.2867493566310491,4457.783296,245.0,12555.890688,0.0,0.0,0.0,1.59375,85777.0,0.18637712110190788,231610.667008,2.854912,907.0,0.31300000000010186,13258.113024,0.0,1247280.0,9.3,2.71875,37952.36864,221.0,,,,,,,,,,,,,,
25,26,,,1681400462,2.59375,0.0,0.15199999999981628,11365.49888,0.004075868949761805,39818.0,0.5004880500270461,4947.193856,246.0,12558.516224,0.0,0.0,0.0,9.46875,98207.0,0.3602367619252103,230413.59872,2.854912,922.0,0.31300000000010186,12796.809216,0.0,1336853.0,9.8,4.34375,38184.955904,377.0,,,,,,,,,,,,,,
26,27,,,1681400463,2.59375,0.0,0.15999999999985448,11359.232,0.004064665377215886,43414.0,0.7235342551108292,4947.193856,247.0,12558.516224,0.0,0.0,0.0,9.46875,100300.0,9.603661124249344,230419.8656,2.854912,922.0,0.31300000000010186,12796.809216,0.0,1341296.0,9.8,4.34375,38184.955904,377.0,,,,,,,,,,,,,,
27,28,,,1681400464,2.59375,0.0,0.16799999999989268,11955.523584,0.07331806737557583,48441.0,0.7839050660170517,5095.28064,250.0,12707.065856,0.0,0.0,0.0,9.46875,103898.0,113.84026155502157,229819.183104,2.854912,946.0,0.3149999999995998,12814.143488,0.0,1348714.0,10.0,4.34375,45987.442688,380.0,3.6098062992095947e-06,0.7306747320108116,0.017615717370063066,0.04753088904544711,0.00039670011028647423,,,,,,,,,
28,28,,,1681400464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,32.0,12.662267684936523,2.3653415273875,0.0,0.0001,1.5691198790445924,0.0,0.0
29,28,,,1681400464,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012439601123332977,0.027566124219447374,0.008646755013614893,0.04717605095356703,0.002046280074864626,2.0,64.0,12.813651084899902,0.08824512828141451,0.0,0.0001,0.0015659579075872898,0.0,1.0
30,28,,,1681400464,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013008331879973412,0.026292242109775543,0.005282040685415268,0.04653055500239134,0.001958638895303011,2.0,96.0,12.604296684265137,0.08289170823991299,0.0,0.0001,0.0015273983590304852,0.0,2.0
31,28,,,1681400464,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013508438132703304,0.028526477981358767,0.005130936857312918,0.04370196396484971,0.001880417112261057,2.0,128.0,12.770692825317383,0.08131060749292374,0.0,0.0001,0.0007199677638709545,0.0,3.0
32,28,,,1681400464,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010771369561553001,0.027189144864678383,0.0061916629783809185,0.04201767221093178,0.0018774471245706081,2.0,160.0,12.771735191345215,0.0797548689879477,0.0,0.0001,0.0014018048532307148,0.0,4.0
33,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012885918840765953,0.02798750391229987,0.005265349987894297,0.043408496771007776,0.0018516662530601025,2.0,192.0,12.655172348022461,0.08103361865505576,0.0,0.0001,0.0012320098467171192,0.0,5.0
