_timestamp,memory/total_memory_sys_MB,memory/available_memory_sys_MB,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,01_general/step,03_hivemind/global_epoch,disk/counter/disk_read_sys_count,bandwidth/disk_write_sys_bandwidth_MBs,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,_step,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,01_general/locally_processed_samples,cpu/load/avg_sys_load_five_min_percent,process/memory/data_resident_set_proc_MB,cpu/logical_core_count,02_timing/forward_time_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,02_timing/opt_step_time_s,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,03_hivemind/num_peers,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,process/memory/resident_set_size_proc_MB,02_timing/step_time_s,01_general/dataset_iteration_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/voluntary_proc_ctx_switches,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,01_general/lr,02_timing/backward_time_s,02_timing/dataload_time_s,cpu/interrupts/ctx_switches_count
1681396068.0,,188521.586688,139.74670259788584,1.9,,,0.0,0.004086898204215665,0.37000000000000455,5136.62976,422,,1.9720000000000084,0.0,,2.7666666666666666,0.0,,,10.7,9826.439168,0.0,127.4869099890466,224,,16301.645824,,1429743.0,,5676344.0,824.0,,0.0,12076.290048,,,3.0000000000000004,8015.0,6095.0,2.719744,42891.497472,,,,5404678.0
1681396069.0,,188503.384064,132.57305005396674,1.9,,,0.0,0.004085521986754194,0.37000000000000455,5136.62976,423,,1.975999999999999,0.0,,2.7666666666666666,0.0,,,10.7,9826.439168,0.0,123.09997734662744,225,,16319.848448,,1433084.0,,5687309.0,825.0,,0.0,12076.290048,,,3.0000000000000004,8015.0,6095.0,2.719744,42891.497472,,,,5417796.0
1681396070.0,,188477.775872,114.19989124545788,1.9,,,0.0,0.03678047386379263,0.37100000000003774,5136.62976,424,,1.980000000000004,0.0,,2.7666666666666666,0.0,,,10.7,9826.439168,0.0,111.44601712001446,226,,16345.45664,,1436508.0,,5695286.0,828.0,,0.0,12076.290048,,,3.0000000000000004,8015.0,6095.0,2.719744,42891.497472,,,,5432024.0
1681396071.0,,188463.403008,110.79694032999244,1.9,,,0.0,0.004082870344147852,0.37100000000003774,5136.62976,425,,1.9840000000000089,0.0,,2.7666666666666666,0.0,,,10.7,9826.439168,0.0,145.517422557553,227,,16359.829504,,1441057.0,,5706293.0,829.0,,0.0,12076.290048,,,3.0000000000000004,8015.0,6095.0,2.719744,42891.497472,,,,5443476.0
1681396072.0,,188451.36896,95.76720107205537,1.9,,,0.0,0.004086943899407164,0.3720000000000141,5136.62976,426,,1.9879999999999995,0.0,,2.7666666666666666,0.0,,,10.7,9826.439168,0.0,79.3437691352769,228,,16371.863552,,1444356.0,,5714068.0,830.0,,0.0,12076.290048,,,3.0000000000000004,8015.0,6095.0,2.719744,42891.497472,,,,5453145.0
1681396073.0,,188430.966784,123.6199272891069,1.866666666666667,,,0.0,0.004085342253733213,0.3720000000000141,5136.62976,427,,1.9920000000000044,0.0,,2.7,0.0,,,10.7,9826.439168,0.0,127.66667423245941,229,,16392.265728,,1448383.0,,5723571.0,831.0,,0.0,12076.290048,,,2.733333333333333,8015.0,6095.0,2.719744,42891.497472,,,,5466929.0
1681396074.0,,188413.571072,126.93318597029698,1.866666666666667,,,0.0,0.004086332439029238,0.3720000000000141,5136.62976,428,,2.0,0.0,,2.7,0.0,,,10.7,9826.439168,0.0,95.87546318681872,230,,16409.66144,,1451604.0,,5732025.0,832.0,,0.0,12076.290048,,,2.733333333333333,8015.0,6095.0,2.719744,42891.497472,,,,5477774.0
1681396075.0,,188404.75648,70.27119660686695,1.866666666666667,,,0.0,0.036749702166935405,0.37400000000002365,5136.62976,429,,2.004000000000005,0.0,,2.7,0.0,,,10.7,9826.439168,0.0,48.404102993360475,231,,16418.476032,,1453446.0,,5736701.0,835.0,,0.0,12076.290048,,,2.733333333333333,8015.0,6095.0,2.719744,42891.497472,,,,5483739.0
1681396076.0,,188397.223936,28.11110777163766,1.866666666666667,,,0.0,0.00408554336872028,0.37400000000002365,5136.62976,430,,2.0080000000000098,0.0,,2.7,0.0,,,10.7,9826.439168,0.0,26.425015196527248,232,,16426.008576,,1454293.0,,5738615.0,836.0,,0.0,12076.290048,,,2.733333333333333,8015.0,6095.0,2.719744,42891.497472,,,,5487110.0
1681396077.0,,188378.112,82.69148528761328,1.866666666666667,,,0.0,0.0040862673188750784,0.375,5136.62976,431,,2.0160000000000053,0.0,,2.7,0.0,,,10.8,9826.439168,0.0,69.71232706747733,233,,16445.120512,,1456581.0,,5745265.0,837.0,,0.0,12076.290048,,,2.733333333333333,8015.0,6095.0,2.719744,42891.497472,,,,5497180.0
1681396078.0,,188370.096128,44.57224657924563,1.866666666666667,,,0.0,0.028607831433159737,0.375,5136.62976,432,,2.024000000000001,0.0,,2.666666666666667,0.0,,,10.8,9826.439168,0.0,75.27580121687922,234,,16453.136384,,1459371.0,,5748584.0,839.0,,0.0,12076.290048,,,2.533333333333333,8015.0,6095.0,2.719744,42891.497472,,,,5501898.0
1681396079.0,,188364.546048,29.25588529296393,1.866666666666667,,,0.0,0.004086814587123338,0.3760000000000332,5136.62976,433,,2.028000000000006,0.0,,2.666666666666667,0.0,,,10.8,9826.439168,0.0,30.84677365693258,235,,16458.686464,,1460317.0,,5750866.0,840.0,,0.0,12076.290048,,,2.533333333333333,8015.0,6095.0,2.719744,42891.497472,,,,5505496.0
1681396080.0,,188352.974848,65.80177926238349,1.866666666666667,,,0.0,0.04083867101300255,0.37700000000000955,5136.62976,434,,2.0320000000000107,0.0,,2.666666666666667,0.0,,,10.8,9826.439168,0.0,61.538557013941336,236,,16470.257664,,1461998.0,,5756112.0,843.0,,0.0,12076.290048,,,2.533333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5512323.0
1681396081.0,,188335.316992,80.03986199097243,1.866666666666667,,,0.0,0.004084909987714879,0.37800000000004275,5136.62976,435,,2.0360000000000014,0.0,,2.666666666666667,0.0,,,10.8,9826.439168,0.0,65.9683204302058,237,,16487.91552,,1463899.0,,5761646.0,844.0,,0.0,12076.290048,,,2.533333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5522555.0
1681396082.0,,188329.984,92.31337529332271,1.866666666666667,,,0.0,0.004085154765327134,0.37800000000004275,5136.62976,436,,2.0400000000000063,0.0,,2.666666666666667,0.0,,,10.8,9826.439168,0.0,110.9524444625193,238,,16493.248512,,1467180.0,,5770071.0,845.0,,0.0,12076.290048,,,2.533333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5531541.0
1681396083.0,,188325.466112,59.75512843453976,1.866666666666667,,,0.0,0.06537292243586965,0.3800000000000523,5136.62976,437,,2.048000000000002,0.0,,2.6333333333333333,0.0,,,10.8,9826.439168,0.0,46.179106819568595,239,,16497.7664,,1468991.0,,5774783.0,850.0,,0.0,12076.290048,,,2.333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5535622.0
1681396084.0,,188321.030144,48.951057181125336,1.866666666666667,,,0.0,0.004086784456793738,0.3800000000000523,5136.62976,438,,2.0520000000000067,0.0,,2.6333333333333333,0.0,,,10.8,9826.439168,0.0,17.88968342720182,240,,16502.202368,,1470387.0,,5777008.0,851.0,,0.0,12076.290048,,,2.333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5539046.0
1681396085.0,,188316.540928,35.10956669871251,1.866666666666667,,,0.0,0.04086935144829098,0.3830000000000382,5136.62976,439,,2.067999999999998,0.0,,2.6333333333333333,0.0,,,10.8,9826.439168,0.0,12.154680820210137,241,,16506.691584,,1471090.0,,5778106.0,858.0,,0.0,12076.290048,,,2.333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5540709.0
1681396086.0,,188301.049856,93.60548895825524,1.866666666666667,,,0.0,0.004085399572276472,0.38400000000001455,5136.62976,440,,2.0720000000000027,0.0,,2.6333333333333333,0.0,,,10.8,9826.439168,0.0,47.61256323478578,242,,16522.174464,,1473186.0,,5782029.0,859.0,,0.0,12076.290048,,,2.333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5547037.0
1681396087.0,,188289.011712,25.638308393358077,1.866666666666667,,,0.0,0.04086886533166148,0.38500000000004775,5136.62976,441,,2.084000000000003,0.0,,2.6333333333333333,0.0,,,10.8,9826.439168,0.0,1.0556380022384517,243,,16534.212608,,1474700.0,,5784986.0,863.0,,0.0,12076.290048,,,2.333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5551380.0
1681396088.0,,187955.621888,25.719137671493456,1.8333333333333333,,,0.0,0.004086573506114126,0.3860000000000241,5136.62976,442,,2.088000000000008,0.0,,2.566666666666667,0.0,,,11.0,9826.439168,0.0,25.83743280014022,244,,16867.610624,,1476547.0,,5799506.0,864.0,,0.0,12076.290048,,,2.1333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5583056.0
1681396089.0,,188341.256192,29.12830373872669,1.8333333333333333,,,0.0,0.004086538504534969,0.3860000000000241,5136.62976,443,,2.0919999999999987,0.0,,2.566666666666667,0.0,,,10.8,9826.439168,0.0,38.53488484309059,245,,16481.918976,,1515311.0,,5903568.0,865.0,,0.0,12076.290048,,,2.1333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5767748.0
1681396090.0,,188437.250048,20.066652793956013,1.8333333333333333,,,0.0,0.004085305344813848,0.3860000000000241,5136.625664,444,,2.0960000000000036,0.0,,2.566666666666667,0.0,,,10.7,9826.439168,0.0,17.480598659556545,246,,16385.953792,,1554113.0,,5948433.0,866.0,,0.0,12076.285952,,,2.1333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5823363.0
1681396091.0,,188436.045824,0.9622767142338186,1.8333333333333333,,,0.0,0.0040872871248624765,0.38700000000000045,5136.625664,445,,2.1000000000000085,0.0,,2.566666666666667,0.0,,,10.7,9826.439168,0.0,2.996029362665408,247,,16387.158016,,1558360.0,,5954447.0,867.0,,0.0,12076.285952,,,2.1333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5831635.0
1681396092.0,,188436.045824,1.298955168777657,1.8333333333333333,,,0.0,0.004085718261102252,0.38700000000000045,5136.625664,446,,2.108000000000004,0.0,,2.566666666666667,0.0,,,10.7,9826.439168,0.0,1.5290561178827113,248,,16387.15392,,1563353.0,,5961200.0,868.0,,0.0,12076.285952,,,2.1333333333333333,8015.0,6096.0,2.719744,42891.497472,,,,5840596.0
1681396093.0,,188436.045824,0.26029764724175275,1.8333333333333333,,,0.0,0.10214635736270135,0.39200000000005275,5136.625664,447,,2.1159999999999997,0.0,,2.533333333333333,0.0,,,10.7,9826.439168,0.0,0.32679652192235437,249,,16387.15392,,1564447.0,,5962807.0,882.0,,0.0,12076.285952,,,1.9666666666666666,8015.0,6096.0,2.719744,42891.497472,,,,5842833.0
1681396094.0,,188436.045824,0.41807677831532514,1.8333333333333333,,,0.0,0.004087911516186553,0.39200000000005275,5136.625664,448,,2.1200000000000045,0.0,,2.533333333333333,0.0,,,10.7,9826.439168,0.0,0.48060106552947385,250,,16387.15392,,1565270.0,,5964001.0,883.0,,0.0,12076.285952,,,1.9666666666666666,8015.0,6096.0,2.719744,42891.497472,,,,5844565.0
1681396095.0,,188436.045824,0.5869673909159074,1.8333333333333333,,,0.0,0.004084694374596569,0.3930000000000291,5136.625664,449,,2.1240000000000094,0.0,,2.533333333333333,0.0,,,10.7,9826.439168,0.0,0.5707163704949529,251,,16387.15392,,1566751.0,,5965873.0,884.0,,0.0,12076.285952,,,1.9666666666666666,8015.0,6096.0,2.719744,42891.497472,,,,5847120.0
1681396096.0,,188468.5312,11.112626452877967,1.8333333333333333,,,0.0,0.004085597770821565,0.3930000000000291,5136.625664,450,,2.128,0.0,,2.533333333333333,0.0,,,10.7,9826.439168,0.0,0.3213817389462209,252,,16354.684928,,1567740.0,,5968064.0,885.0,,0.0,12076.285952,,,1.9666666666666666,8015.0,6096.0,2.719744,42891.497472,,,,5850755.0
1681396097.0,,188519.99744,15.675224698242632,1.8333333333333333,,,0.0,0.004085601664517268,0.3930000000000291,5136.625664,451,,2.132000000000005,0.0,,2.533333333333333,0.0,,,10.7,9826.439168,0.0,27.86030821881687,253,,16303.22688,,1570385.0,,5973324.0,886.0,,0.0,12076.285952,,,1.9666666666666666,8015.0,6096.0,2.719744,42891.497472,,,,5855135.0
1681396098.0,,188524.07296,0.049291004262397485,1.8333333333333333,,,0.0,0.03678862124713793,0.39500000000003865,5136.625664,452,,2.13600000000001,0.0,,2.5,0.0,,,10.7,9826.439168,0.0,7.547758874031076,254,,16299.134976,,1570869.0,,5973802.0,889.0,,0.0,12076.285952,,,1.8000000000000003,8015.0,6096.0,2.719744,42891.497472,,,,5855668.0
1681396099.0,,188523.495424,8.789405570812647,1.8333333333333333,,,0.0,0.004086269262730224,0.39500000000003865,5136.625664,453,,2.1400000000000006,0.0,,2.5,0.0,,,10.7,9826.439168,0.0,0.14591652535951746,255,,16299.716608,,1571466.0,,5974596.0,890.0,,0.0,12076.285952,,,1.8000000000000003,8015.0,6096.0,2.719744,42891.497472,,,,5856752.0
1681396100.0,,188523.282432,0.006762183182706866,1.8333333333333333,,,0.0,0.004087647921670404,0.39500000000003865,5136.625664,454,,2.1440000000000055,0.0,,2.5,0.0,,,10.7,9826.439168,0.0,0.08009235152626829,256,,16299.945984,,1571606.0,,5974952.0,891.0,,0.0,12076.285952,,,1.8000000000000003,8015.0,6096.0,2.719744,42891.497472,,,,5857392.0
1681396101.0,,188523.282432,0.36528399535927386,1.8333333333333333,,,0.0,0.00408521888585392,0.39500000000003865,5136.625664,455,,2.1480000000000103,0.0,,2.5,0.0,,,10.7,9826.439168,0.0,0.00532993399983021,257,,16299.945984,,1571762.0,,5975284.0,892.0,,0.0,12076.285952,,,1.8000000000000003,8015.0,6096.0,2.719744,42891.497472,,,,5857953.0
1681396102.0,,188522.82368,17.206983067141586,1.8333333333333333,,,0.0,0.0040830702381704324,0.396000000000015,5136.625664,456,,2.156000000000006,0.0,,2.5,0.0,,,10.7,9826.439168,0.0,0.1931563365601969,258,,16300.404736,,1572653.0,,5976416.0,893.0,,0.0,12076.285952,,,1.8000000000000003,8015.0,6096.0,2.719744,42891.497472,,,,5859442.0
1681396103.0,,188522.729472,14.335006976847524,1.8000000000000003,,,0.0,0.02858282994264395,0.3970000000000482,5136.625664,457,,2.160000000000011,0.0,,2.433333333333333,0.0,,,10.7,9826.439168,0.0,2.085015362755239,259,,16300.498944,,1573723.0,,5978954.0,896.0,,0.0,12076.285952,,,1.6666666666666667,8015.0,6096.0,2.719744,42891.497472,,,,5863784.0
1681396104.0,,188522.733568,0.19992431292553964,1.8000000000000003,,,0.0,0.0040856249833018795,0.3970000000000482,5136.625664,458,,2.1640000000000015,0.0,,2.433333333333333,0.0,,,10.7,9826.439168,0.0,33.516631989206616,260,,16300.494848,,1575605.0,,5980032.0,897.0,,0.0,12076.285952,,,1.6666666666666667,8015.0,6096.0,2.719744,42891.497472,,,,5864523.0
1681396105.0,,188597.960704,16.749526847303983,1.8000000000000003,,,0.0,0.08173448357186033,0.3990000000000009,5136.625664,459,,2.1680000000000064,0.0,,2.433333333333333,0.0,,,10.6,9826.439168,0.0,0.341073849375439,261,,16225.243136,,1576853.0,,5982568.0,901.0,,0.0,12076.285952,,,1.6666666666666667,8015.0,6096.0,2.719744,42891.497472,,,,5868666.0
1681396106.0,,188597.137408,19.50676446083987,1.8000000000000003,,,0.0,0.004084329251190338,0.3990000000000009,5136.625664,460,,2.1720000000000113,0.0,,2.433333333333333,0.0,,,10.6,9826.439168,0.0,28.149109421008117,262,,16226.062336,,1581344.0,,5988454.0,902.0,,0.0,12076.285952,,,1.6666666666666667,8015.0,6096.0,2.719744,42891.497472,,,,5876967.0
