03_hivemind/global_epoch,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/total_training_samples,03_hivemind/num_peers,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,_runtime,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/num_clients,03_hivemind/eta_next_epoch_s,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples
0,356.72,20640,,,2,0.0,,3168.0,0.0,0.0,,394.0343980165494,,17152.0,123,,0.0,394.0343980165494,64,1681390455.0,0,29.75,,10.0,37.22,21046
0,356.83,21184,,,2,0.0,,3232.0,0.0,0.0,,391.6243336630099,,17408.0,125,,0.0,391.6243336630099,65,1681390457.0,0,28.81,,10.0,37.2,21486
0,354.46,21728,,,2,0.0,,3264.0,0.0,0.0,,388.03228506157507,,17920.0,126,,0.0,388.03228506157507,66,1681390458.0,0,27.95,,10.0,37.16,21921
0,350.88,22048,,,2,0.0,,3296.0,0.0,0.0,,390.08679027996567,,18432.0,127,,0.0,390.08679027996567,67,1681390459.0,0,26.58,,10.0,37.15,22398
0,352.96,22592,,,2,0.0,,3360.0,0.0,0.0,,393.2095928689707,,18688.0,128,,0.0,393.2095928689707,68,1681390460.0,0,25.14,,10.0,37.12,22883
0,356.1,23136,,,2,0.0,,3392.0,0.0,0.0,,391.7748852033567,,19200.0,129,,0.0,391.7748852033567,69,1681390461.0,0,24.08,,9.63,37.11,23334
0,354.69,23456,,,2,0.0,,3424.0,0.0,0.0,,393.7836714664102,,19712.0,131,,0.0,393.7836714664102,70,1681390463.0,0,22.6,,9.04,37.09,23870
0,356.73,24000,,,2,0.0,,3488.0,0.0,0.0,,393.1234632094849,,19968.0,132,,0.0,393.1234632094849,71,1681390464.0,0,21.47,,8.59,37.05,24329
0,356.09,24576,,,2,0.0,,3520.0,0.0,0.0,,395.3884210079548,,20480.0,133,,0.0,395.3884210079548,72,1681390465.0,0,20.13,,8.05,37.04,24810
0,358.37,24864,,,2,0.0,,3584.0,0.0,0.0,,390.35001922640555,,20992.0,134,,0.0,390.35001922640555,73,1681390466.0,0,19.31,,7.72,37.02,25232
