04_peers/peer_2_epoch,04_peers/peer_3_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,_step,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples
0.0,,,0,0.0,2784.0,4736,10,,4871,500.2011918345332,2,,1681399133.0,,1312.0,500.2011918345332,0.0,,249.39,,0,,,239.61,61,0.0,,55.77,10.0,
0.0,,,0,0.0,3104.0,5312,11,,5556,503.961155246422,2,,1681399134.0,,1632.0,503.961155246422,0.0,,250.65,,0,,,249.55,62,0.0,,54.0,10.0,
0.0,,,0,0.0,3392.0,6016,12,,6158,505.19885224815556,2,,1681399135.0,,1920.0,505.19885224815556,0.0,,251.21,,0,,,252.75,63,0.0,,52.67,10.0,
0.0,,,0,0.0,3744.0,6592,13,,6759,505.44904388173495,2,,1681399136.0,,2272.0,505.44904388173495,0.0,,251.4,,0,,,253.8,64,0.0,,51.46,10.0,
0.0,,,0,0.0,4032.0,8224,14,,8450,644.097352011902,3,,1681399138.0,,2560.0,644.097352011902,0.0,,251.3,,0,,,254.15,66,0.0,,37.76,10.0,
0.0,139.23,,0,0.0,4320.0,11136,15,1024.0,11500,1078.1475168229906,3,,1681399139.0,,2880.0,1078.1475168229906,0.0,,251.15,0.0,0,,,253.72,67,0.0,0.0,19.73,9.86,
0.0,572.61,,0,0.0,4640.0,13536,16,3328.0,14217,1460.622768540521,3,,1681399140.0,,3168.0,1460.622768540521,0.0,,251.38,0.0,0,,,254.16,68,0.0,0.0,12.7,6.35,
0.0,955.02,,0,0.0,4928.0,16448,17,5120.0,17048,1829.1444582915265,3,,1681399141.0,,3488.0,1829.1444582915265,0.0,,250.84,0.0,0,,,254.77,69,0.0,0.0,8.59,4.3,
0.0,1323.26,,0,0.0,5248.0,18848,18,7424.0,19626,1973.7032500409136,3,,1681399142.0,,3776.0,1973.7032500409136,0.0,,250.9,0.0,0,,,254.98,70,0.0,0.0,6.66,3.33,
0.0,1467.48,,0,0.0,5536.0,21216,19,9216.0,21871,1914.6583798726351,3,,1681399144.0,,4096.0,1914.6583798726351,0.0,,251.13,0.0,0,,,255.1,72,0.0,0.0,5.69,2.85,
0.0,1408.45,,0,0.0,5824.0,23392,20,11008.0,24397,1990.3342073147596,3,,1681399145.0,,4384.0,1990.3342073147596,0.0,,251.27,0.0,0,,,254.93,73,0.0,0.0,4.21,2.1,
0.0,1484.34,,0,0.0,6144.0,25760,21,12544.0,26646,1979.4479413175416,3,,1681399146.0,,4704.0,1979.4479413175416,0.0,,251.05,0.0,0,,,254.95,74,0.0,0.0,3.09,1.55,
0.0,1473.29,,0,0.0,6432.0,28160,22,14336.0,28918,1976.010582308767,3,,1681399147.0,,4992.0,1976.010582308767,0.0,,251.04,0.0,0,,,255.12,75,0.0,0.0,1.95,0.97,
0.0,1470.48,,0,0.0,6720.0,30560,23,16128.0,31204,1964.2190857394462,3,,1681399148.0,,5312.0,1964.2190857394462,0.0,,250.73,0.0,0,,,254.8,76,0.0,0.0,0.8,0.5,
0.0,1458.92,,0,0.0,7040.0,32640,24,17920.0,33406,1898.9977555111689,3,,1681399150.0,,5600.0,1898.9977555111689,0.0,,250.54,0.0,0,,,254.76,78,0.0,0.0,0.0,0.5,
0.0,1393.85,,0,0.0,7296.0,32896,25,19456.0,35794,1937.4966625381144,3,,1681399151.0,,5888.0,1937.4966625381144,0.0,,250.31,0.0,0,,,254.83,79,0.0,0.0,0.0,0.5,
0.0,1432.35,,0,0.0,7296.0,32896,26,19712.0,38109,1937.4966625381144,3,,1681399152.0,,5888.0,1937.4966625381144,0.0,,250.31,0.0,0,,,254.83,80,0.0,0.0,0.0,0.5,
0.0,1432.35,,0,0.0,7296.0,32896,27,19712.0,40423,1937.4966625381144,3,,1681399153.0,,5888.0,1937.4966625381144,0.0,,250.31,0.0,0,,,254.83,81,0.0,0.0,0.0,0.5,
