01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_one_min_percent,01_general/minibatch_loss,disk/counter/disk_read_sys_count,_step,01_general/lr,_runtime,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,cpu/interrupts/soft_interrupts_count,02_timing/loss_calc_time_s,03_hivemind/num_peers,memory/available_memory_sys_MB,01_general/step,memory/used_memory_sys_percent,_timestamp,memory/total_memory_sys_MB,02_timing/opt_step_time_s,process/memory/shared_memory_proc_MB,02_timing/step_time_s,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/dataload_cuda_move_time_s,process/memory/text_resident_set_proc_MB,process/memory/data_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,process/voluntary_proc_ctx_switches,disk/time/disk_busy_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/lib_memory_proc_MB,03_hivemind/global_epoch,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,bandwidth/net_sent_sys_bandwidth_Mbits,disk/counter/disk_write_sys_count,memory/used_memory_sys_MB,cpu/load/avg_sys_load_five_min_percent
,224.0,0.0,,35.31700000000001,195708.0,9.5,,4592.0,42,,36,,,3.9570000000000007,81331.0,,,25435.590656,,19.4,1696169617.0,,,1286.950912,,207705.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.924000000000007,0.012894974778498679,3937.456128,,4.5,0.11439502377633294,4238.97088,,0.11325394618162182,1017.0,5246.271488,5.25
,224.0,0.0,,35.317999999999756,195937.0,9.5,,4592.0,43,,37,,,3.9570000000000007,81477.0,,,25435.623424,,19.4,1696169618.0,,,1286.950912,,207873.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.932000000000002,0.0038781057213902502,3937.456128,,4.5,0.004085576397357904,4238.97088,,0.003112060147452631,1018.0,5246.23872,5.25
,224.0,0.0,,35.317999999999756,196207.0,9.5,,4592.0,44,,38,,,3.9570000000000007,81611.0,,,25435.52512,,19.4,1696169619.0,,,1286.950912,,208082.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.939999999999998,0.019885999392727158,3937.456128,,4.5,0.004085727002485551,4238.97088,,0.11801526685809276,1019.0,5246.332928,5.25
,224.0,0.0,,35.31899999999996,196473.0,9.5,,4592.0,45,,39,,,3.9570000000000007,81767.0,,,25435.557888,,19.4,1696169620.0,,,1286.950912,,208288.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.944000000000003,0.006663271537975418,3937.456128,,4.5,0.004085742549266242,4238.97088,,0.06741475205336721,1020.0,5246.30016,5.25
,224.0,0.0,,35.31999999999971,196737.0,8.75,,4592.0,46,,40,,,3.9570000000000007,81890.0,,,25435.590656,,19.4,1696169621.0,,,1286.950912,,208477.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.9480000000000075,0.0149044141321572,3937.456128,,4.5,0.004085149910157399,4238.97088,,0.11333897361613539,1021.0,5246.263296,5.125
,224.0,0.0,,35.322000000000116,197053.0,8.75,,4592.0,47,,41,,,3.9570000000000007,82061.0,,,25435.60704,,19.4,1696169622.0,,,1286.950912,,208701.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.956000000000003,0.0,3937.456128,,4.5,0.040857202002618755,4238.97088,,0.000526674869592649,1024.0,5246.2592,5.125
,224.0,0.0,,35.322000000000116,197315.0,8.75,,4592.0,48,,42,,,3.9570000000000007,82187.0,,,25435.365376,,19.4,1696169623.0,,,1286.950912,,208890.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.960000000000008,0.014053114348647307,3937.456128,,4.5,0.004085857210427855,4238.97088,,0.11418055655982286,1025.0,5246.509056,5.125
,224.0,0.0,,35.322999999999865,197547.0,8.75,,4592.0,49,,43,,,3.9570000000000007,82327.0,,,25435.398144,,19.4,1696169624.0,,,1286.950912,,209072.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.963999999999999,0.011220389782044558,3937.456128,,4.5,0.004085945639956326,4238.97088,,0.13430950216962498,1026.0,5246.476288,5.125
,224.0,0.0,,35.32400000000007,198673.0,8.75,,4592.0,50,,44,,,3.9570000000000007,83160.0,,,25434.431488,,19.4,1696169625.0,,,1286.950912,,210606.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.9680000000000035,0.2701402881797778,3937.456128,,4.5,0.004085418032947072,4238.97088,,0.3635064530577997,1027.0,5247.442944,5.125
,224.0,0.0,,35.32600000000002,262238.0,9.0,,4592.0,51,,45,,,3.9570000000000007,97555.0,,,25197.907968,,20.2,1696169626.0,,,1286.950912,,252662.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.980000000000004,836.2706773602803,3937.456128,,4.5,0.008170960426377738,4238.97088,,955.1137857857763,1029.0,5483.962368,5.25
