02_timing/forward_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_five_min_percent,_runtime,01_general/lr,03_hivemind/global_epoch,01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,03_hivemind/num_peers,cpu/interrupts/interrupts_count,_timestamp,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/step_time_s,02_timing/dataload_time_s,memory/total_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent
0.02642131500033429,0.1031658370002333,,,,,,29,,0.006683741000415466,,,,,,0.33425932099999045,,,,288.0,,,0.0009466219999012537,,,20,0.0001,0.0,0.0,,,4.0,,1681079714.0,7.3597412109375,,,,,8.0,0.47586144900105865,0.00438461300018389,,,,
0.025780472999940685,,6726.967296,28.1,0.0,31498.0,1.5,30,0.1540000000004511,0.006710321999889857,2394.341376,0.0,28.62951552085992,28125.483008,,,0.19999999999998863,4704.395264,1058.0,,0.0,0.44790016645252856,0.0009126909999395139,0.0,1.0,21,,,,63.0,0.05307028941580182,,260705.0,1681079715.0,,22684.966912,0.0,6166.736896,2.654208,,,,,130.0,21782.0,4.25
,0.1029183689997808,,,,,,31,,,,,,,,0.33409111100081645,,,,320.0,,,,,,21,0.0001,0.0,0.0,,,4.0,,1681079715.0,6.980712890625,,,,,9.0,0.4748351080006614,0.004422142000294116,,,,
0.025999780000347528,,6732.439552,28.2,0.0,33229.0,1.625,32,0.15499999999974534,0.00692334999985178,2394.329088,0.0,37.02104472409928,28125.483008,,,0.2079999999999984,4704.39936,1076.0,,0.0,0.31837296532467263,0.0008681890003572335,0.0,1.25,22,,,,64.0,0.00816116144889365,,262849.0,1681079716.0,,22660.21888,0.0,6166.724608,2.654208,,,,,132.0,23127.0,4.875
,0.10343646199999057,,,,,,33,,,,,,,,0.33422629500000767,,,,352.0,,,,,,22,0.0001,0.0,0.0,,,4.0,,1681079716.0,7.1771240234375,,,,,10.0,0.47615366900026856,0.004699592999713786,,,,
0.0251797640003133,,6735.458304,28.2,0.0,34618.0,1.625,34,0.1570000000001528,0.006734472999596619,2394.341376,0.0,52.13831090246491,28125.483008,,0.3344571420002467,0.22399999999998954,4704.403456,1089.0,,0.0,0.3081364791941809,0.0006682140001430525,0.0,1.25,23,,,,66.0,0.00816487914955405,,264855.0,1681079717.0,,22657.191936,0.0,6166.736896,2.654208,,,,,134.0,24444.0,4.875
,0.10355428400089295,,,,,,35,,,,,,,,,,,,384.0,,,,,,23,0.0001,0.0,0.0,,,4.0,,1681079717.0,7.3497314453125,,,,,11.0,0.4748251930013794,0.00423131600018678,,,,
0.026633984999534732,0.10292093499992916,6736.822272,28.2,0.0,36146.0,1.625,36,0.15999999999985448,0.007018190000053437,2394.329088,0.0,32.65472818593375,28125.483008,,0.3347784199995658,0.24399999999999977,4704.403456,1111.0,,0.0,0.37441977534342474,0.0008419499999945401,0.0,1.25,24,,,,70.0,0.08170783606521242,,266792.0,1681079718.0,,22655.823872,0.0,6166.724608,2.654208,,,,,138.0,25630.0,4.875
,,,,,,,37,,,,,,,,,,,,416.0,,,,,,24,0.0001,0.0,0.0,,,4.0,,1681079718.0,7.1239013671875,,,,,12.0,0.47638293399904796,0.004189453999970283,,,,
0.02667473300061829,0.10321652899983746,6737.686528,28.2,0.0,37517.0,1.625,38,0.1610000000000582,0.006697051000628562,2394.341376,0.0,28.623275404772865,28125.745152,,0.3315637790001347,0.25200000000000955,4704.669696,1128.0,,0.0,0.33812427805346096,0.0008341269995071343,0.0,1.25,25,,,,71.0,0.008170838008940893,,268543.0,1681079719.0,,22654.967808,0.0,6166.736896,2.654208,,,,,140.0,26670.0,4.875
