03_hivemind/global_epoch,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,process/memory/text_resident_set_proc_MB,_timestamp,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/resident_set_size_proc_MB,memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,_step,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,_runtime,01_general/step,cpu/logical_core_count,02_timing/forward_time_s,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,01_general/lr,02_timing/step_time_s,03_hivemind/num_peers,02_timing/backward_time_s,memory/used_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,process/memory/shared_memory_proc_MB,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB
,2.0,,2.719744,1681395601.0,3082163.0,954.0,,0.01634710670317488,6714.404864,1275159.0,2.204201403373513,2.466666666666667,6273.265664,,198128.050176,0.450999999999965,480,,2.299999999999997,1.866666666666667,0.002000000000000668,6.1,3889002.0,184,,,0.01705649599989556,0.0003891579999617534,92.12131813588758,0.003186844999618188,5876.0,0.0,,,,,9545.613312,4.333333333333334,4568.0,0.0,,,2450.86208,0.0,34089.2672
2.0,,9503.0,,1681395602.0,,,0.0,,,,,,,,,,481,7.1673583984375,,,,,,185,296.0,,,,,,,,0.0001,0.20689869799934968,9.0,0.14381019299980835,,,,,0.0026445240000612102,0.03981148200000462,,,
2.0,,9535.0,,1681395602.0,,,0.0,,,,,,,,,,482,7.335205078125,,,,,,185,297.0,,0.017157143000076758,0.00040902999990066746,,0.00330413999972734,,,0.0001,0.20595120799953293,9.0,0.14284691900002144,,,,,0.0026964069998030027,0.039537569000003714,,,
2.0,,9567.0,,1681395602.0,,,0.0,,,,,,,,,,483,7.3046875,,,,,,185,298.0,,0.01725259599970741,0.00037658199971701833,,0.0031512959999417944,,,0.0001,0.2056989929997144,9.0,0.142141631999948,,,,,0.002902863000144862,0.039874024000255304,,,
,2.0,,2.719744,1681395602.0,3086311.0,964.0,,0.07356413260311986,6714.404864,1279909.0,2.47137490172898,2.466666666666667,6273.298432,,198126.94016,0.4549999999999841,484,,2.319999999999993,1.866666666666667,0.002000000000000668,6.1,3893495.0,185,,,0.017159368000193354,0.0003855899999507528,98.1558494494756,0.003252816999975039,5914.0,0.0,,,,,9546.81344,4.333333333333334,4577.0,0.0,,,2450.894848,0.0,34089.2672
2.0,,9599.0,,1681395603.0,,,0.0,,,,,,,,,,485,6.9208984375,,,,,,186,299.0,,,,,,,,0.0001,0.20432579899988923,9.0,0.1408594509998693,,,,,0.0028572870000971307,0.03981128599980366,,,
2.0,,9631.0,,1681395603.0,,,0.0,,,,,,,,,,486,7.1412353515625,,,,,,186,300.0,,0.017243934999896737,0.00038112200036266586,,0.003099930000189488,,,0.0001,0.20625858800030983,9.0,0.1428400579998197,,,,,0.003033394999874872,0.03966014800016637,,,
2.0,,9663.0,,1681395603.0,,,0.0,,,,,,,,,,487,7.3194580078125,,,,,,186,301.0,,0.017330654000033974,0.00044279799976720824,,0.0032658069999342842,,,0.0001,0.2071254959992075,9.0,0.1434620999998515,,,,,0.0029541229996539187,0.039670013999966613,,,
,2.0,,2.719744,1681395603.0,3092396.0,970.0,,0.06539424477764805,6714.404864,1284846.0,2.576303342810097,2.466666666666667,6273.265664,,198124.335104,0.4590000000000032,488,,2.343999999999994,1.866666666666667,0.002000000000000668,6.1,3897963.0,186,,,0.0172574270000041,0.0003890399998454086,95.84641755570229,0.003101169999808917,5950.0,0.0,,,,,9550.143488,4.333333333333334,4579.0,0.0,,,2450.86208,0.0,34089.2672
2.0,,9695.0,,1681395604.0,,,0.0,,,,,,,,,,489,7.2529296875,,,,,,187,302.0,,,,,,,,0.0001,0.20707542799937073,9.0,0.14337384700002076,,,,,0.003226903999802744,0.0397270399998888,,,
2.0,,9727.0,,1681395604.0,,,0.0,,,,,,,,,,490,7.3267822265625,,,,,,187,303.0,,0.01718793600002755,0.0003984959998888371,,0.0031710100001873798,,,0.0001,0.20721354400029668,9.0,0.1437066850003248,,,,,0.0030951650001043163,0.0396542519997638,,,
2.0,,9759.0,,1681395604.0,,,0.0,,,,,,,,,,491,7.3145751953125,,,,,,187,304.0,,0.017484254999999393,0.00039907200016386923,,0.0031326749999607273,,,0.0001,0.2115052850003849,9.0,0.14313955099987652,,,,,0.0027784650001194677,0.044571267000264925,,,
