_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s
85,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,63680,,77.29,38,1681407121.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
86,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,65305,,77.29,39,1681407122.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
87,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,66926,,77.29,40,1681407123.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
88,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,68546,,77.29,41,1681407124.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
89,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,70175,,77.29,42,1681407125.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
90,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,71796,,77.29,43,1681407126.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
91,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,73435,,77.29,44,1681407127.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
92,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,75073,,77.29,45,1681407128.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
93,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,76698,,77.29,46,1681407129.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
94,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,78331,,77.29,47,1681407130.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
