_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
30,22,,,1683543527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.10404381999978796,288.0,7.3597412109375,0.3359083949999331,0.4783418869997149,0.0,0.0001,0.004620961000000534,0.0,8.0
31,22,,,1683543527,1.875,0.004000000000000448,0.21600000000000819,7308.230656,1.862904108223269,22769.0,0.11939974418972786,2398.98624,258.0,6689.943552,6.0,0.0,0.0,4.25,18369.0,11.509699679234698,22092.836864,2.654208,1046.0,0.7640000000010332,5224.579072,0.0,262089.0,30.0,1.125,28644.048896,84.0,0.006792697999571828,0.000703719999819441,0.025179395000122895,,,,,0.3425071379997462,,,,,,
32,23,,,1683543528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.10335767700007636,320.0,6.980712890625,,0.48287420399947223,0.0,0.0001,0.004333576000135508,0.0,9.0
33,23,,,1683543528,1.875,0.004000000000000448,0.22800000000000864,7313.313792,0.008172581297776482,23672.0,0.052642916242786775,2398.982144,260.0,6689.943552,6.0,0.0,0.0,4.25,19488.0,54.757643482606476,22087.749632,2.654208,1071.0,0.7650000000012369,5224.61184,0.0,263737.0,30.0,1.125,28644.048896,85.0,0.006911000999934913,0.0006794079999963287,0.026285392000318097,,0.10381859400013127,,,0.3380803250001918,,,,,,
34,24,,,1683543529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,352.0,7.1771240234375,,0.4803266210005859,0.0,0.0001,0.0045519010000134585,0.0,10.0
35,24,,,1683543529,1.875,0.004000000000000448,0.24399999999999977,7316.004864,0.06946322355551543,24423.0,0.11220736709641016,2398.98624,264.0,6689.951744,6.0,0.0,0.0,4.875,20398.0,32.83359942401894,22085.050368,2.654208,1089.0,0.7680000000000291,5224.61184,0.0,265067.0,30.0,1.25,28644.048896,87.0,0.0069257240002116305,0.0007412649997604603,0.025570663000053173,,0.1041571999999178,,,0.3432792690000497,,,,,,
36,24,,,1683543529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,384.0,7.3497314453125,,0.4851925390003089,0.0,0.0001,0.00451841800031616,0.0,11.0
37,25,,,1683543530,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007058822000090004,0.000649505000183126,0.027615180000339024,1.0,0.10400499099978333,416.0,7.1239013671875,0.3371430870001859,0.4816675650004072,0.0,0.0001,0.005195979999825795,0.0,12.0
38,25,,,1683543530,1.875,0.004000000000000448,0.2599999999999909,7312.900096,0.012258877778296746,25559.0,0.06530885211312991,2398.98624,267.0,6689.959936,6.0,0.0,0.0,4.875,21263.0,29.554965144350874,22107.295744,2.654208,1120.0,0.7710000000006403,5224.61184,0.0,266558.0,29.9,1.25,28644.048896,90.0,0.00665735400025369,0.0007096839999576332,0.02663398699996833,,,,,,,,,,,
39,26,,,1683543531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1037647640000614,448.0,7.1131591796875,0.3405025469996872,0.48228403599978265,0.0,0.0001,0.004015699999854405,0.0,13.0
