02_timing/step_time_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,01_general/lr,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,03_hivemind/num_peers,02_timing/backward_time_s,memory/total_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,cpu/interrupts/soft_interrupts_count,03_hivemind/global_epoch,process/involuntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,memory/available_memory_sys_MB,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,_step,01_general/step,cpu/logical_core_count,01_general/minibatch_loss,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB
,5.3,6730.678272,0.5666666666666667,,0.00042664099987632653,89.11614886328003,0.6666666666666667,2.719744,,,,0.0,0.6666666666666667,0.017125134000025355,0.1839999999999975,47284.0,324.0,0.0163478066951357,14,0.017000000000000348,0.25300000000004275,41873.0,,125.0,32027.111424,199821.213696,971137.0,61.0,,24,,,,6554.005504,0.0030632329999207286,1178.0,2451.759104,0.0,,0.0,0.7571077974626507,1681394180.0,,,7824.543744
0.20435579199966014,,,,0.0001,,,,,1.0,0.14158965100000387,,,,,,,,,15,,,,0.0,,,,,,0.0,25,9.0,,6.9808349609375,,,,,,320.0,,,1681394181.0,0.00285533399983251,0.03929579900000135,
0.20467506500017407,,,,0.0001,0.0003868100000090635,,,,1.0,0.14240306800002145,,,,0.017233475000011822,,,,,15,,,,0.0,,,,,,0.0,26,10.0,,7.1771240234375,,0.003003428000056374,,,,352.0,,,1681394181.0,0.002644132999876092,0.03900415100019927,
0.20325713099987297,,,,0.0001,0.00042098199992324226,,,,1.0,0.14065110700016703,,,,0.017134295000005295,,,,,15,,,,0.0,,,,,,0.0,27,11.0,,7.3497314453125,,0.0030741869998109905,,,,384.0,,,1681394181.0,0.002800896000053399,0.03917566399991301,
,5.3,6730.678272,0.5666666666666667,,0.0003765890000977379,93.50198563012225,0.6666666666666667,2.719744,,,,0.0,0.6666666666666667,0.017040682000015295,0.20400000000000773,51134.0,332.0,0.10217967429385819,15,0.017000000000000348,0.2580000000000382,47983.0,,126.0,32027.111424,199805.538304,976234.0,61.0,,28,,,,6553.98912,0.0030473219999294088,1209.0,2451.738624,0.0,,0.0,0.9084411668032202,1681394181.0,,,7837.7984
0.2048387380002623,,,,0.0001,,,,,1.0,0.14242030500008696,,,,,,,,,16,,,,0.0,,,,,,0.0,29,12.0,,7.1239013671875,,,,,,416.0,,,1681394182.0,0.0027143320000959648,0.03923950800003695,
0.20328476200006662,,,,0.0001,0.0003881910001837241,,,,1.0,0.13986065299991424,,,,0.017891857999984495,,,,,16,,,,0.0,,,,,,0.0,30,13.0,,7.11328125,,0.003063787999963097,,,,448.0,,,1681394182.0,0.00269366399993487,0.0393866080000862,
0.20206299000005856,,,,0.0001,0.0004005830001005961,,,,1.0,0.13972928199996204,,,,0.017011114000069938,,,,,16,,,,0.0,,,,,,0.0,31,14.0,,7.450927734375,,0.0030435769999712647,,,,480.0,,,1681394182.0,0.00280543700000635,0.03907299699994837,
,5.3,6730.678272,0.5666666666666667,,0.00038296100001389277,85.39439644466131,0.6666666666666667,2.719744,,,,0.0,0.6666666666666667,0.017089414000110992,0.22400000000000375,55165.0,336.0,0.016348712884869276,16,0.017000000000000348,0.25900000000001455,52528.0,,131.0,32027.111424,199809.24928,980683.0,61.0,,32,,,,6554.079232,0.0030982240000412276,1246.0,2451.82464,0.0,,0.0,0.8021805707314456,1681394182.0,,,7840.989184
0.2019748200000322,,,,0.0001,,,,,1.0,0.1394403039998906,,,,,,,,,17,,,,0.0,,,,,,0.0,33,15.0,,7.2388916015625,,,,,,512.0,,,1681394183.0,0.0026929849998396094,0.03927093200013587,
