_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
24,18,,,1681377339,6.25,0.7590000000000146,0.9959999999999809,6866.579456,0.008170006471182637,25441.0,0.6362552110395802,2400.096256,158.0,6160.83456,44.0,0.0,0.0,9.0,19768.0,86.0736989643636,20431.147008,2.711552,709.0,5.656000000000859,4418.134016,0.0,15018.0,30.6,4.25,27776.319488,559.0,0.0035704599999917264,0.0006554500000675034,0.020001487000172347,,,,,,,,,,,
25,18,,,1681377339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09653294700001425,224.0,7.28173828125,0.3169180710001456,0.440813010000511,0.0,0.0001,0.003134595000119589,0.0,6.0
26,19,,,1681377340,6.25,0.7590000000000146,1.0199999999999818,6869.663744,0.09396588847091686,27124.0,0.7897092433888132,2400.124928,163.0,6160.863232,44.0,0.0,0.0,9.0,21180.0,63.54950700216762,20428.054528,2.711552,729.0,5.661000000000058,4418.134016,0.0,16201.0,30.6,4.25,27776.319488,564.0,0.0035601509998741676,0.0007025609997981519,0.020110296999973798,,0.09623707399987325,,,0.31915660999993634,,,,,,
27,19,,,1681377340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,256.0,7.125,,0.44246389099953376,0.0,0.0001,0.0026971980000780604,0.0,7.0
28,20,,,1681377341,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034730620000118506,0.0006521840000459633,0.021485963000031916,4.0,0.09695020600020143,288.0,7.3597412109375,0.3167488129997764,0.44210638699996707,0.0,0.0001,0.0027961589998994896,0.0,8.0
29,20,,,1681377341,6.25,0.7590000000000146,1.0319999999999823,6909.493248,0.012248925430610926,28777.0,0.6885873783145391,2395.815936,166.0,6156.77952,44.0,0.0,0.0,9.0,22533.0,58.35638476401528,20407.37792,2.711552,769.0,5.661000000000058,4426.67008,0.0,17372.0,30.7,4.25,27851.825152,567.0,0.0038122089999887976,,,,,,,,,,,,,
30,20,,,1681377341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006252110001696565,0.01999167799976931,4.0,0.0967799160002869,320.0,6.980712890625,0.3179691179998372,0.4418830640001943,0.0,0.0001,0.002704932000142435,0.0,9.0
31,21,,,1681377342,6.25,0.7590000000000146,1.0439999999999827,6871.646208,0.01225732967297003,30480.0,0.6670668633016659,2400.104448,169.0,6161.195008,44.0,0.0,0.0,9.0,24465.0,128.34772793170595,20426.072064,2.711552,798.0,5.662000000000262,4426.674176,0.0,18855.0,30.6,4.25,27851.825152,572.0,0.003565621000234387,0.0006105029997343081,0.019636679000086588,,,,,,,,,,,
32,21,,,1681377342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.09641150200013726,352.0,7.1771240234375,0.320792199999687,0.44424372999992556,0.0,0.0001,0.003227225000046019,0.0,10.0
33,22,,,1681377343,6.25,0.7590000000000146,1.051999999999964,6873.939968,0.00817102843563393,31845.0,0.7115497534770644,2400.141312,171.0,6161.235968,44.0,0.0,0.0,9.0,25653.0,50.005433254939234,20423.7824,2.711552,814.0,5.662000000000262,4426.674176,0.0,19842.0,30.6,4.25,27851.825152,573.0,0.0035798579997390334,0.0006957779996810132,0.02026260299999194,,0.09643931599975986,,,0.31726030400022864,,,,,,
