_runtime,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_accumulated,_step,_timestamp,03_hivemind/reached_TBS,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples
97,0.0,2,,,0.5,668.05,,1.0,,1.0,0.0,,677.53,4096.0,4128.0,43,1680688092.0,,25518,1345.5791848556987,1345.5791848556987,0,1,0.0,8224,
99,0.0,2,,,0.5,668.05,,1.0,,1.0,0.0,,677.53,4096.0,4128.0,44,1680688094.0,,27121,1345.5791848556987,1345.5791848556987,0,1,0.0,8224,
100,0.0,2,,,2.55,668.05,,1.0,,1.0,0.0,,677.53,4096.0,4128.0,45,1680688095.0,,269,1242.4046608460517,1242.4046608460517,0,2,6.38,128,
101,0.0,2,2.0,0.0,1.84,613.57,8224.0,2.0,22.580446889624,2.0,0.0,364.2089122593509,628.84,64.0,64.0,46,1680688096.0,0.0,2010,1347.2674591712787,1347.2674591712787,0,2,4.59,1856,16544.0
102,0.0,2,,,1.33,684.77,,2.0,,2.0,0.0,,662.5,928.0,928.0,47,1680688097.0,,3657,1367.3737761527752,1367.3737761527752,0,2,3.32,3488,
103,0.0,2,,,0.87,688.88,,2.0,,2.0,0.0,,678.5,1760.0,1728.0,48,1680688098.0,,5261,1352.7442275994063,1352.7442275994063,0,2,2.17,5120,
104,0.0,2,,,0.5,673.04,,2.0,,2.0,0.0,,679.71,2560.0,2560.0,49,1680688099.0,,6863,1316.4071501671867,1316.4071501671867,0,2,1.01,6720,
106,0.0,2,,,0.5,632.23,,2.0,,2.0,0.0,,684.18,3360.0,3360.0,50,1680688101.0,,8560,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
107,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,51,1680688102.0,,10263,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
108,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,52,1680688103.0,,11971,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
109,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,53,1680688104.0,,13680,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
