_timestamp,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_step,04_peers/peer_1_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated
1681401927.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,58845,105,0.0,,244.58,32672,0.5,39,0.0,,1485.05,10144.0,22528.0
1681401928.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,60901,106,0.0,,244.58,32672,0.5,40,0.0,,1485.05,10144.0,22528.0
1681401929.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,62948,107,0.0,,244.58,32672,0.5,41,0.0,,1485.05,10144.0,22528.0
1681401930.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,65001,108,0.0,,244.58,32672,0.5,42,0.0,,1485.05,10144.0,22528.0
1681401931.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,67053,109,0.0,,244.58,32672,0.5,43,0.0,,1485.05,10144.0,22528.0
1681401933.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,69113,111,0.0,,244.58,32672,0.5,44,0.0,,1485.05,10144.0,22528.0
1681401934.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,71164,112,0.0,,244.58,32672,0.5,45,0.0,,1485.05,10144.0,22528.0
1681401935.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,73216,113,0.0,,244.58,32672,0.5,46,0.0,,1485.05,10144.0,22528.0
1681401936.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,75273,114,0.0,,244.58,32672,0.5,47,0.0,,1485.05,10144.0,22528.0
1681401937.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,77329,115,0.0,,244.58,32672,0.5,48,0.0,,1485.05,10144.0,22528.0
