03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
63269,2013.2676942434782,8,32896,25,0.0,120,0,0.5,2013.2676942434782,1683053140,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
1431,1907.0345641980305,8,1120,26,16.43,121,1,10.0,1657.1117381549739,1683053141,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
4020,1732.0819553148099,8,3488,27,16.6,122,1,10.0,1732.0819553148099,1683053142,0,160.0,240.06,192.0,1.0,1.0,0.0,1.0,128.0,0.0,235.63,242.89,0.0,240.1,160.0,1.0,0.0,235.98,192.0,1.0,0.0,160.0,226.42,1.0,0.0,1.0,236.04,128.0,0.0,249.92,2240.0,0.0,1.0,36.44687410350889,0.0,32896.0,32896.0,0.0,902.5739740142205,1.0
7167,1931.1190720112859,8,6592,28,13.26,124,1,9.64,1931.1190720112859,1683053144,0,448.0,216.56,480.0,1.0,1.0,0.0,1.0,416.0,0.0,223.6,222.34,0.0,219.89,448.0,1.0,0.0,226.29,480.0,1.0,0.0,416.0,207.21,1.0,0.0,1.0,213.76,416.0,0.0,202.44,384.0,1.0,0.0,,,,,,,
10282,1995.1252180746337,8,9664,29,11.27,126,1,8.2,1995.1252180746337,1683053146,0,832.0,242.37,864.0,1.0,1.0,0.0,1.0,832.0,0.0,244.74,242.53,0.0,242.44,832.0,1.0,0.0,245.73,864.0,1.0,0.0,800.0,237.14,1.0,0.0,1.0,240.44,800.0,0.0,235.72,768.0,1.0,0.0,,,,,,,
13125,2012.734719985396,8,12800,30,9.76,127,1,7.1,2012.734719985396,1683053147,0,1216.0,249.17,1248.0,1.0,1.0,0.0,1.0,1216.0,0.0,251.27,250.15,0.0,249.29,1216.0,1.0,0.0,251.44,1248.0,1.0,0.0,1184.0,246.81,1.0,0.0,1.0,249.02,1184.0,0.0,247.98,1152.0,1.0,0.0,,,,,,,
15985,2018.4638977208588,8,15616,31,8.31,128,1,6.05,2018.4638977208588,1683053148,0,1600.0,251.78,1632.0,1.0,1.0,0.0,1.0,1600.0,0.0,253.31,251.24,0.0,251.0,1600.0,1.0,0.0,253.46,1664.0,1.0,0.0,1600.0,249.96,1.0,0.0,1.0,251.08,1600.0,0.0,250.91,1504.0,1.0,0.0,,,,,,,
18854,2020.6174501496469,8,18464,32,6.89,130,1,5.01,2020.6174501496469,1683053150,0,1952.0,252.88,1984.0,1.0,1.0,0.0,1.0,1952.0,0.0,253.56,252.42,0.0,251.69,1952.0,1.0,0.0,254.32,2016.0,1.0,0.0,1952.0,250.84,1.0,0.0,1.0,250.85,1952.0,0.0,251.91,1856.0,1.0,0.0,,,,,,,
21684,2017.5650699336632,8,21280,33,5.49,131,1,4.0,2017.5650699336632,1683053151,0,2304.0,252.91,2368.0,1.0,1.0,0.0,1.0,2304.0,0.0,254.08,252.94,0.0,251.84,2304.0,1.0,0.0,254.51,2368.0,1.0,0.0,2304.0,250.9,1.0,0.0,1.0,251.11,2304.0,0.0,252.32,2208.0,1.0,0.0,,,,,,,
24527,2020.555943187616,8,24160,34,4.08,133,1,2.97,2020.555943187616,1683053153,0,2656.0,253.09,2720.0,1.0,1.0,0.0,1.0,2656.0,0.0,253.81,253.23,0.0,251.97,2656.0,1.0,0.0,254.15,2720.0,1.0,0.0,2656.0,247.88,1.0,0.0,1.0,250.96,2656.0,0.0,252.46,2560.0,1.0,0.0,,,,,,,
