process/memory/data_resident_set_proc_MB,01_general/step,01_general/locally_processed_samples,_runtime,02_timing/forward_time_s,01_general/dataset_iteration_count,memory/used_memory_sys_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/ctx_switches_count,cpu/logical_core_count,_step,disk/counter/disk_read_sys_count,_timestamp,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_write_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,02_timing/loss_calc_time_s,01_general/minibatch_loss,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/backward_time_s,memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,02_timing/dataload_time_s,01_general/lr,03_hivemind/num_peers,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,memory/available_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,02_timing/dataload_cuda_move_time_s,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,cpu/interrupts/soft_interrupts_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs
0.0,,,24,,,19.9,0.004087981548833636,2.654208,,0.0,3.1950000000000003,270.0,136384.0,,24,4585.0,1696169605.0,,4.383999999999986,5.375,4.125,0.5180000000000291,247.13105992631904,1583.751168,31119.478784,,,,0.5553746494805208,,5102.12096,3907.600384,,,,7061.0,54.0,25276.633088,6.5,,,169182.0,56900.0,4541.075456,0.0
0.0,,,25,,,20.2,0.33111752334726724,2.654208,,0.0,3.1950000000000003,328.0,152273.0,,25,4585.0,1696169606.0,,4.391999999999996,5.375,4.125,0.6060000000002219,615.2999601229945,1583.751168,31119.478784,,,,1.3368374989522045,,5185.605632,3907.600384,,,,7061.0,54.0,25193.148416,6.5,,,180549.0,60949.0,4541.075456,0.0
,0.0,20.0,26,,0.0,,,,7.812668744000007,,,,,,26,,1696169607.0,,,,,,,,,18.03356761000009,,3.9990053176879883,,,,,4.6673017339999205,0.0001,1.0,,,,,,1.0,,,,
0.0,,,26,0.20614340500003436,,19.2,0.008169983159428197,2.654208,,0.0,3.1950000000000003,330.0,168689.0,,27,4585.0,1696169607.0,,4.3999999999999915,5.375,4.125,0.6069999999999709,342.9329607569226,1285.267456,30892.11392,,0.0003648260000090886,,2.237617965965919,0.026683677999926658,5196.148736,3916.505088,,,,7113.0,58.0,25504.956416,6.5,0.006464115999960995,,193900.0,65499.0,4242.804736,0.0
0.0,,,27,,,19.4,0.01634150503695916,2.654208,,0.0,3.1950000000000003,333.0,172517.0,,28,4585.0,1696169608.0,,4.411999999999992,5.375,4.125,0.6100000000001273,0.5514779194813025,1285.267456,30892.11392,,,,1.469754005471791,,5269.827584,3916.505088,,,,7114.0,59.0,25431.273472,6.5,,,197410.0,67016.0,4242.804736,0.0
0.0,,,28,,,19.1,0.07761679630936946,2.654208,,0.0,3.1950000000000003,342.0,176215.0,,29,4585.0,1696169609.0,,4.423999999999992,5.5,4.25,0.6179999999999382,0.48531242314027684,1285.267456,30892.11392,,,,1.4364692407434905,,5164.199936,3916.505088,,,,7114.0,59.0,25517.686784,7.000000000000001,,,200516.0,68452.0,4242.804736,0.0
0.0,,,29,,,19.1,0.0040848905639907195,2.654208,,0.0,3.1950000000000003,343.0,178886.0,,30,4585.0,1696169610.0,,4.427999999999997,5.5,4.25,0.6179999999999382,0.3545477574756675,1285.267456,30892.11392,,,,1.183277909201061,,5163.245568,3916.505088,,,,7114.0,59.0,25518.637056,7.000000000000001,,,202543.0,69394.0,4242.804736,0.0
0.0,,,30,,,19.1,0.5514569482829521,2.654208,,0.0,3.1950000000000003,355.0,179830.0,,31,4585.0,1696169611.0,,4.439999999999998,5.5,4.25,0.6579999999999018,0.1324071110192957,1285.267456,30892.11392,,,,0.6390342474905867,,5163.180032,3916.505088,,,,7114.0,59.0,25518.702592,7.000000000000001,,,203273.0,69815.0,4242.804736,0.0
0.0,,,31,,,19.1,0.0040849323309403805,2.654208,,0.0,3.1950000000000003,356.0,180037.0,,32,4585.0,1696169612.0,,4.443999999999988,5.5,4.25,0.6590000000001055,0.002736585527263306,1285.267456,30892.11392,,,,0.06687481014289134,,5162.831872,3916.505088,,,,7114.0,59.0,25519.050752,7.000000000000001,,,203415.0,69921.0,4242.804736,0.0
0.0,,,32,,,19.1,0.02042345731982,2.654208,,0.0,3.1950000000000003,361.0,180550.0,,33,4585.0,1696169613.0,,4.455999999999989,5.5,4.25,0.6630000000000109,0.13821734299812705,1285.267456,30892.11392,,,,0.1303032532879836,,5162.795008,3916.505088,,,,7114.0,59.0,25519.091712,7.000000000000001,,,203847.0,70251.0,4242.804736,0.0
