_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
26,25,,,1680689519,4.333333333333334,0.0,0.14400000000000546,5859.672064,0.004087574013885522,31477.0,0.052651466009574564,2046.500864,172.0,5871.869952,0.0,0.0,0.0,4.0,13478.0,0.015224616461726287,201875.173376,2.719744,820.0,0.08699999999998909,6423.08096,0.0,967147.0,4.4,4.566666666666666,22901.764096,261.0,,,,,,,,,,,,,,
27,26,,,1680689520,4.333333333333334,0.0,0.14799999999999613,5859.667968,0.04904776059826039,31920.0,0.0036482465166560703,2046.500864,175.0,5871.869952,0.0,0.0,0.0,4.0,13616.0,0.003959584844520466,201875.173376,2.719744,820.0,0.08899999999994179,6423.08096,0.0,967399.0,4.4,4.566666666666666,22901.764096,261.0,,,,,,,,,,,,,,
28,27,,,1680689521,4.333333333333334,0.0,0.15200000000001523,5859.667968,0.004086968198516495,32562.0,0.053098657181649765,2046.500864,176.0,5871.869952,0.0,0.0,0.0,4.0,13784.0,0.016770937859831535,201875.173376,2.719744,820.0,0.08899999999994179,6423.08096,0.0,967757.0,4.4,4.566666666666666,22901.764096,261.0,,,,,,,,,,,,,,
29,28,,,1680689522,4.333333333333334,0.0,0.1560000000000059,5859.65568,0.004085253857576731,33008.0,0.0092556532599602,2046.500864,177.0,5871.869952,0.0,0.0,0.0,4.0,13935.0,0.0066943905939122715,201875.173376,2.719744,820.0,0.08899999999994179,6423.08096,0.0,968030.0,4.4,4.566666666666666,22901.764096,261.0,,,,,,,,,,,,,,
30,29,,,1680689523,4.300000000000001,0.0,0.1599999999999966,5859.905536,0.004085555992077714,33573.0,0.05194720610405783,2046.500864,178.0,5871.869952,0.0,0.0,0.0,3.6666666666666665,14104.0,0.01579163147796604,201874.919424,2.719744,820.0,0.08999999999991815,6423.08096,0.0,968355.0,4.4,4.466666666666667,22901.764096,261.0,,,,,,,,,,,,,,
31,30,,,1680689524,4.300000000000001,0.0,0.16800000000000637,5859.905536,0.0367885249626755,34045.0,0.05993304186046256,2046.500864,183.0,5871.869952,0.0,0.0,0.0,3.6666666666666665,14286.0,0.053977260665990505,201874.944,2.719744,820.0,0.09199999999998454,6423.08096,0.0,968635.0,4.4,4.466666666666667,22901.764096,261.0,,,,,,,,,,,,,,
32,31,,,1680689525,4.300000000000001,0.0,0.17600000000001614,5860.151296,0.05722400747141611,34895.0,0.08325741823489849,2046.500864,187.0,5871.869952,0.0,0.0,0.0,3.6666666666666665,14597.0,0.09782686769110721,201874.69824,2.719744,820.0,0.09399999999993724,6423.08096,0.0,969157.0,4.4,4.466666666666667,22901.768192,261.0,,,,,,,,,,,,,,
33,32,,,1680689526,4.300000000000001,0.0,0.18000000000000682,5860.401152,0.004087267676709077,35352.0,0.008733341496436587,2046.500864,188.0,5871.869952,0.0,0.0,0.0,3.6666666666666665,14723.0,0.00487757922868071,201874.440192,2.719744,820.0,0.09399999999993724,6423.08096,0.0,969403.0,4.4,4.466666666666667,22901.768192,261.0,,,,,,,,,,,,,,
34,33,,,1680689527,4.300000000000001,0.0,0.1839999999999975,5860.401152,0.004087362009241638,35865.0,0.0036562730470458163,2046.500864,189.0,5871.869952,0.0,0.0,0.0,3.6666666666666665,14886.0,0.006594064451708658,201874.440192,2.719744,820.0,0.0949999999999136,6423.08096,0.0,969691.0,4.4,4.466666666666667,22901.768192,261.0,,,,,,,,,,,,,,
35,34,,,1680689528,4.266666666666667,0.0,0.1880000000000166,5860.401152,0.0040874184047390094,36385.0,0.0663327334882171,2046.500864,190.0,5871.869952,0.0,0.0,0.0,3.4000000000000004,15058.0,0.016581187601543115,201874.440192,2.719744,820.0,0.0949999999999136,6423.08096,0.0,969989.0,4.4,4.4,22901.768192,261.0,,,,,,,,,,,,,,
