03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
7851,2185.0067599325166,4,7552,33,11.4,80,2,6.52,2185.0067599325166,1683047641,0,1216.0,2.0,543.78,0.0,547.66,1248.0,547.41,1216.0,2.0,0.0,2.0,2.0,1248.0,0.0,546.49,0.0,,,,,,,
10469,2181.443066490485,4,10176,34,10.22,81,2,5.84,2181.443066490485,1683047642,0,1888.0,2.0,545.59,0.0,545.92,1888.0,546.29,1888.0,2.0,0.0,2.0,2.0,1888.0,0.0,547.21,0.0,,,,,,,
13094,2181.367328122382,4,12768,35,9.02,82,2,5.15,2181.367328122382,1683047643,0,2528.0,2.0,541.68,0.0,547.51,2560.0,543.38,2528.0,2.0,0.0,2.0,2.0,2560.0,0.0,548.88,0.0,,,,,,,
15716,2172.735915479662,4,15424,36,7.85,83,2,4.48,2172.735915479662,1683047644,0,3168.0,2.0,542.66,0.0,547.74,3200.0,545.42,3200.0,2.0,0.0,2.0,2.0,3200.0,0.0,545.55,0.0,,,,,,,
18332,2183.77564125634,4,18048,37,6.61,84,2,3.78,2183.77564125634,1683047645,0,3840.0,2.0,543.9,0.0,540.93,3872.0,542.51,3840.0,2.0,0.0,2.0,2.0,3872.0,0.0,545.4,0.0,,,,,,,
20953,2179.4848174033623,4,20672,38,5.42,86,2,3.1,2179.4848174033623,1683047647,0,4480.0,2.0,543.97,0.0,548.67,4512.0,544.18,4512.0,2.0,0.0,2.0,2.0,4544.0,0.0,546.95,0.0,,,,,,,
23566,2176.784533022699,4,23264,39,4.23,87,2,2.42,2176.784533022699,1683047648,0,5152.0,2.0,544.88,0.0,545.12,5184.0,544.52,5152.0,2.0,0.0,2.0,2.0,5184.0,0.0,544.96,0.0,,,,,,,
26186,2170.2119700714525,4,25888,40,3.03,88,2,1.73,2170.2119700714525,1683047649,0,5792.0,2.0,540.15,0.0,546.13,5824.0,544.24,5792.0,2.0,0.0,2.0,2.0,5856.0,0.0,546.28,0.0,,,,,,,
28794,2169.553465603613,4,28512,41,1.83,89,2,1.05,2169.553465603613,1683047650,0,6432.0,2.0,536.65,0.0,540.02,6496.0,545.78,6464.0,2.0,0.0,2.0,2.0,6496.0,0.0,547.77,0.0,,,,,,,
31436,2177.873564969455,4,31136,42,0.61,90,2,0.5,2177.873564969455,1683047651,0,7072.0,2.0,534.89,0.0,547.4,7168.0,542.75,7104.0,2.0,0.0,2.0,2.0,7168.0,0.0,544.51,0.0,,,,,,,
34050,2170.0435275005775,4,32800,43,0.0,92,2,0.5,2170.0435275005775,1683047653,0,7744.0,2.0,544.13,0.0,545.83,7808.0,543.94,7776.0,2.0,0.0,2.0,2.0,7808.0,0.0,543.97,0.0,,,,,,,
36686,2170.0435275005775,4,32800,44,0.0,93,2,0.5,2170.0435275005775,1683047654,0,8160.0,2.0,540.03,0.0,543.64,8224.0,543.54,8192.0,2.0,0.0,2.0,2.0,8224.0,0.0,542.83,0.0,,,,,,,
1370,2134.5223765919814,4,1120,45,14.71,94,3,8.41,2134.5223765919814,1683047655,0,8160.0,2.0,540.03,0.0,543.64,8224.0,543.54,8192.0,2.0,0.0,2.0,2.0,8224.0,0.0,542.83,0.0,,,,,,,
3978,2155.68421636735,4,3712,46,13.36,95,3,7.63,2155.68421636735,1683047656,0,256.0,3.0,501.15,0.0,546.84,288.0,540.57,288.0,3.0,0.0,3.0,3.0,288.0,0.0,545.96,0.0,16.858156653121114,0.0,98464.0,32800.0,0.0,1945.6456998771225,3.0
6575,2148.115944455587,4,6272,47,12.19,96,3,6.97,2148.115944455587,1683047657,0,896.0,3.0,536.8,0.0,533.64,960.0,537.65,928.0,3.0,0.0,3.0,3.0,928.0,0.0,547.59,0.0,,,,,,,
9160,2157.302879415529,4,8864,48,10.94,98,3,6.25,2157.302879415529,1683047659,0,1536.0,3.0,536.53,0.0,535.16,1600.0,537.43,1568.0,3.0,0.0,3.0,3.0,1568.0,0.0,539.0,0.0,,,,,,,
11733,2144.7260849169916,4,11456,49,9.81,99,3,5.6,2144.7260849169916,1683047660,0,2176.0,3.0,538.97,0.0,534.97,2240.0,537.82,2240.0,3.0,0.0,3.0,3.0,2208.0,0.0,545.54,0.0,,,,,,,
14317,2134.7297464860967,4,14048,50,8.64,100,3,4.94,2134.7297464860967,1683047661,0,2848.0,3.0,536.26,0.0,536.62,2880.0,534.72,2880.0,3.0,0.0,3.0,3.0,2848.0,0.0,537.13,0.0,,,,,,,
16879,2125.6157040389044,4,16608,51,7.48,101,3,4.27,2125.6157040389044,1683047662,0,3488.0,3.0,538.48,0.0,528.85,3552.0,535.8,3520.0,3.0,0.0,3.0,3.0,3488.0,0.0,531.59,0.0,,,,,,,
19406,2124.731530690557,4,19104,52,6.29,102,3,3.59,2124.731530690557,1683047663,0,4128.0,3.0,536.44,0.0,526.81,4192.0,528.74,4160.0,3.0,0.0,3.0,3.0,4128.0,0.0,533.63,0.0,,,,,,,
21908,2124.0545957368063,4,21632,53,5.11,104,3,2.92,2124.0545957368063,1683047665,0,4768.0,3.0,535.46,0.0,536.2,4768.0,533.5,4800.0,3.0,0.0,3.0,3.0,4768.0,0.0,519.57,0.0,,,,,,,
24497,2149.9554575150682,4,24192,54,3.85,105,3,2.2,2149.9554575150682,1683047666,0,5408.0,3.0,539.42,0.0,536.52,5408.0,517.09,5408.0,3.0,0.0,3.0,3.0,5408.0,0.0,531.03,0.0,,,,,,,
27072,2137.13070363352,4,26752,55,2.67,106,3,1.52,2137.13070363352,1683047667,0,6048.0,3.0,534.07,0.0,544.57,6048.0,537.79,6048.0,3.0,0.0,3.0,3.0,6048.0,0.0,533.51,0.0,,,,,,,
29689,2150.9167752528574,4,29440,56,1.43,107,3,0.82,2150.9167752528574,1683047668,0,6688.0,3.0,535.07,0.0,538.5,6688.0,538.82,6688.0,3.0,0.0,3.0,3.0,6688.0,0.0,524.74,0.0,,,,,,,
32264,2135.1213674376327,4,32000,57,0.24,108,3,0.5,2135.1213674376327,1683047669,0,7360.0,3.0,534.66,0.0,541.27,7360.0,539.89,7360.0,3.0,0.0,3.0,3.0,7360.0,0.0,535.09,0.0,,,,,,,
34846,2138.287267597309,4,32832,58,0.0,110,3,0.5,2138.287267597309,1683047671,0,8000.0,3.0,528.32,0.0,540.7,8000.0,535.33,8000.0,3.0,0.0,3.0,3.0,8000.0,0.0,530.77,0.0,,,,,,,
