01_general/locally_processed_samples,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,disk/time/disk_write_time_sys_s,02_timing/dataload_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/dataset_iteration_count,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,cpu/logical_core_count,memory/used_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/step_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/counter/disk_write_sys_count,process/memory/shared_memory_proc_MB,01_general/lr,01_general/step,03_hivemind/num_peers,02_timing/forward_time_s,03_hivemind/global_epoch,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/opt_step_time_s,_step,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,process/memory/lib_memory_proc_MB,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,_runtime
4930.0,,,,,1681394253.0,,0.005085990997031331,,,,0.0,,,,,,,,,,0.6471444580092793,,,,,0.0001,19.0,9.0,0.4947094750023098,1.0,7.131439208984375,0.10381841900380095,0.016697204002412036,106,,,,0.003962367001804523,,,,0.022871002001920715,,,88
,1198554.0,25.661892572099415,0.0,0.3125,1681394253.0,0.03399999999999892,,0.0,10892.61568,2.854912,,4982003.0,0.0,0.4875,146617.647104,0.0,,21526.462464,5658.0,0.0,,,512661.082112,202.0,3372.916736,,,,,,,,,107,0.103999999999985,506.0,2.422003901319976,,5.2,2359835.0,13245.37856,0.022983493996434845,1.3125000000000002,0.0,88
5186.0,,,,,1681394253.0,,0.01463128199975472,,,,0.0,,,,,,,,,,0.5756196319925948,,,,,0.0001,20.0,9.0,0.41361796599812806,1.0,7.170440673828125,0.10175865000201156,0.01891515099850949,108,,,,0.003713088997756131,,,,,,,88
,1203707.0,1.3977636409235992,0.0,0.3125,1681394254.0,0.03999999999999915,,0.0,10892.939264,2.854912,,4986023.0,0.0,0.4875,146463.49824,0.0,,21524.504576,5733.0,0.0,,,512778.043392,224.0,3372.908544,,,,0.415694858005736,,,,,109,0.10800000000000409,507.0,2.018256993761812,0.004152239998802543,5.2,2400002.0,13245.616128,0.022636071997112595,1.3125000000000002,0.0897644181568842,89
5442.0,,,,,1681394254.0,,0.014969818999816198,,,,0.0,,,,,,,,,,0.5779326510019018,,,,,0.0001,21.0,9.0,,1.0,7.1665191650390625,0.10485592500481289,0.015623736995621584,110,,,,,,,,,,,89
5698.0,,,,,1681394255.0,,0.015264604000549298,,,,0.0,,,,,,,,,,0.579511463009112,,,,,0.0001,22.0,9.0,0.4118046889998368,1.0,7.1243743896484375,0.10188277099950938,0.018672575999516994,111,,,,0.003909493003448006,,,,0.027977330006251577,,,90
,1208193.0,2.198415852725409,0.0,0.3125,1681394255.0,0.03999999999999915,,0.0,10892.98432,2.854912,,4988925.0,0.0,0.4875,146309.349376,0.0,,21525.008384,5787.0,0.0,,,513085.82912,226.0,3372.900352,,,,,,,,,112,0.11199999999999477,510.0,2.4273452158045052,,5.1,2424008.0,13245.6448,0.0226843979980913,1.3125000000000002,0.05717650434193401,90
5954.0,,,,,1681394255.0,,0.014459060999797657,,,,0.0,,,,,,,,,,0.648382280007354,,,,,0.0001,23.0,9.0,0.4866471310015186,1.0,7.3409881591796875,0.10205943300388753,0.01842527800181415,113,,,,0.0041069790022447705,,,,,,,90
,1212507.0,1.4050773030255364,0.0,0.3125,1681394256.0,0.03999999999999915,,0.0,10893.123584,2.854912,,4991515.0,0.0,0.4875,146188.771328,0.0,,21524.48,5851.0,0.0,,,513240.506368,226.0,3372.89216,,,,,,,,,114,0.11199999999999477,512.0,2.2624593173750336,,5.1,2454619.0,13279.227904,0.02258523699856596,1.3125000000000002,0.0,91
6210.0,,,,,1681394256.0,,0.015379965996544342,,,,0.0,,,,,,,,,,0.575853009999264,,,,,0.0001,24.0,9.0,0.4139074580016313,1.0,7.2232513427734375,0.10376905000157421,0.016356075000658166,115,,,,0.003855224000290036,,,,,,,91
6466.0,,,,,1681394257.0,,0.01431754099758109,,,,0.0,,,,,,,,,,0.5728974020021269,,,,,0.0001,25.0,9.0,0.4112939800033928,1.0,7.235504150390625,0.10120092800207203,0.019211951999750454,116,,,,0.003992571000708267,,,,0.022880429998622276,,,92
