01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,02_timing/dataload_time_s,disk/counter/disk_write_sys_count,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/opt_step_time_s,memory/total_memory_sys_MB,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_five_min_percent,01_general/lr,cpu/logical_core_count,01_general/step_based_sps,process/involuntary_proc_ctx_switches,02_timing/backward_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,_runtime,memory/used_memory_sys_percent,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/forward_time_s,01_general/minibatch_loss,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,_timestamp,01_general/step,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,_step,memory/used_memory_sys_MB
0.0,,,,,0.06806341100127611,0.0007497599999624072,,,,0.00014473199917119928,,,1.6619997040834278e-06,,,,0.0001,,470.1498136700795,,0.049078287000156706,,,98,,,24384.0,,0.017600414001208264,12.753021240234375,,,,,,,1680630997.0,761.0,0.000488556001073448,,,,859,
0.0,,,,,0.06757286900210602,0.0008181820012396201,,,,0.00015754599917272571,,,1.7610000213608146e-06,,,,0.0001,,473.56284367624926,,0.048138547001144616,,,98,,,24416.0,,0.017915692000315175,12.752696990966797,,,,,,,1680630997.0,762.0,0.0005411410002125194,,,,860,
0.0,,,,,0.06879455200214579,0.0009034280010382645,,,,0.00016575299923715647,,,1.899001290439628e-06,,,,0.0001,,465.1531126912765,,0.04865170599987323,,,98,,,24448.0,,0.01845287600008305,12.763503074645996,,,,,,,1680630997.0,763.0,0.0006188900006236508,,,,861,
,515118.0,0.14290291762351354,0.0,2.719744,,,1219.0,0.0,750120.0,0.000158599001224502,0.0,0.13077816021238553,,,519643.0,4.7,,,,5431.0,,8934.0,0.0,98,2.9,3344.089088,,5.2,0.01791249699999753,,0.0,3.8559999999999945,204867.346432,0.5039999999999623,5237.796864,651.579392,1680630997.0,,0.0005215569999563741,6.366666666666666,61.77747486734171,26746.679296,862,4444.85632
0.0,,,,,0.06856490100108203,0.0010061800003313692,,,,,,,1.471998984925449e-06,,,,0.0001,,466.7110946385674,,0.048964596000587335,,,98,,,24480.0,,,12.824652671813965,,,,,,,1680630997.0,764.0,,,,,863,
0.0,,,,,0.06774942699848907,0.0007483939989469945,,,,0.00014965099944674876,,,1.5200002962956205e-06,,,,0.0001,,472.3287180083996,,0.048729980999269173,,,98,,,24512.0,,0.017607313000553404,12.559513092041016,,,,,,,1680630997.0,765.0,0.0005125679999764543,,,,864,
0.0,,,,,0.0686297239990381,0.0007630239997524768,,,,0.00016257599963864777,,,1.5240002539940178e-06,,,,0.0001,,466.27027088799747,,0.04970211699946958,,,98,,,24544.0,,0.01752191900050093,12.6588134765625,,,,,,,1680630997.0,766.0,0.0004785639994224766,,,,865,
0.0,,,,,0.06821864800076582,0.0007031660006759921,,,,0.00014957399980630726,,,1.5799996617715806e-06,,,,0.0001,,469.0799500986998,,0.047692583000753075,,,98,,,24576.0,,0.019168415999956778,12.7218017578125,,,,,,,1680630997.0,767.0,0.0005033289999119006,,,,866,
0.0,,,,,0.06807881400163751,0.0008511680007359246,,,,0.00016687300012563355,,,1.6279991541523486e-06,,,,0.0001,,470.04344110974523,,0.0478470380003273,,,99,,,24608.0,,0.018603460001031635,12.478944778442383,,,,,,,1680630998.0,768.0,0.000608647000262863,,,,867,
0.0,,,,,0.06867016899923328,0.000884442999449675,,,,0.00014852300046186429,,,1.6239991964539513e-06,,,,0.0001,,465.9956494406951,,0.04786937199969543,,,99,,,24640.0,,0.01925351700083411,12.809185981750488,,,,,,,1680630998.0,769.0,0.0005126899995957501,,,,868,
