process/memory/text_resident_set_proc_MB,01_general/lr,process/voluntary_proc_ctx_switches,_step,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/forward_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,01_general/dataset_iteration_count,_timestamp,01_general/step,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,01_general/minibatch_loss,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,disk/time/disk_busy_time_sys_s,process/memory/data_resident_set_proc_MB,02_timing/backward_time_s,memory/used_memory_sys_percent,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/step_based_sps,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_write_sys_bandwidth_MBs,memory/total_memory_sys_MB,cpu/logical_core_count,process/involuntary_proc_ctx_switches
2.654208,,299.0,26,4229.849088,0.001289780000661267,10.375,15,0.16653502699955425,16507.0,0.001046063999638136,0.0,,1696189392.0,,0.0,10.125,3695.960064,26839.752704,,,,13.0,8483.0,,28179.308544,0.0729999999998654,969.478144,0.15200000000001523,0.0,,14.9,8504.0,3593.150464,0.0,,0.0,,0.0,84.0,0.0,0.012254438594684022,,,44.0
,0.0001,,27,,,,15,,,,,0.0,1696189392.0,11.0,,,,,0.0015174410000327043,2.1220002963673323e-06,1.9309251308441162,,,36.0,,,,,,0.06936745599978167,,,,,12.512622629438578,,0.2397578899999644,,,,,,,
,0.0001,,28,,0.0013116820000504958,,16,0.17299537199960469,,0.001072498000212363,,0.0,1696189393.0,12.0,,,,,0.0015844230001675896,1.9839999367832206e-06,1.7240192890167236,,,39.0,,,,,,0.0715714019997904,,,,,12.070619837324454,,0.2485373609997623,,,,,,,
2.654208,,318.0,29,4233.252864,0.0012037490005241125,10.375,16,0.1683757760001754,17755.0,0.0010152939994441113,0.0,,1696189393.0,,0.0,10.125,3695.960064,26836.344832,,,,13.0,9021.0,,28179.308544,0.07699999999977081,969.478144,0.16800000000000637,0.0,,15.0,9029.0,3593.150464,0.01054967799286358,,0.0,,0.0,90.0,0.07299387660210756,0.08988772559144731,,,49.0
,0.0001,,30,,,,16,,,,,0.0,1696189393.0,13.0,,,,,0.001575725999828137,1.4900006135576405e-06,2.5731167793273926,,,42.0,,,,,,0.0555912999998327,,,,,13.171566881010476,,0.227763335000418,,,,,,,
,0.0001,,31,,0.0013829399995302083,,17,0.16865140000027168,,0.00114874900009454,,0.0,1696189394.0,14.0,,,,,0.0015705989999332814,2.052000127150677e-06,2.6079676151275635,,,45.0,,,,,,0.05482183299955068,,,,,13.182318277058398,,0.22757757299950754,,,,,,,
2.654208,,341.0,32,4237.860864,0.0012764110006173723,10.375,17,0.16731985099977464,19005.0,0.0010861119999390212,0.0,,1696189394.0,,0.0,10.125,3695.960064,26831.74912,,1.8089995137415826e-06,,13.0,9602.0,,28179.308544,0.08899999999994179,969.478144,0.1880000000000166,0.0,0.055172991000290494,15.0,9542.0,3593.183232,0.052948714443078006,,0.0,,0.0,104.0,0.01687271363556439,0.06129727567758708,,,51.0
,0.0001,,33,,,,17,,,,,0.0,1696189394.0,15.0,,,,,0.0013998289996379754,,2.583911418914795,,,48.0,,,,,,,,,,,13.25925810129734,,0.22625700299977325,,,,,,,
,0.0001,,34,,0.001255388000572566,,18,0.16722293899965734,,0.0012055739998686477,,0.0,1696189395.0,16.0,,,,,0.0016235579996646265,2.8220001695444807e-06,2.01057505607605,,,51.0,,,,,,0.06769063000047026,,,,,12.552253409590316,,0.239000911000403,,,,,,,
2.654208,,363.0,35,4245.057536,0.0012417249999998603,10.375,18,0.16863532699971984,20514.0,0.0012824139994336292,0.0,,1696189395.0,,0.0,10.125,3695.960064,26824.552448,,2.1500000002561137e-06,,13.0,10362.0,,28179.308544,0.0909999999998945,969.478144,0.20000000000001705,0.0,0.05883988599998702,15.0,10314.0,3593.183232,0.0833431129832544,,0.0,,0.0,107.0,0.13231965942178597,0.012256105461231556,,,53.0
