03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos
2,2.0,937.1474091923542,113,0.0,2.0,2,,433.38,0,0.5,,,,19849,16384,,0.0,503.76,8416.0,61,,7968.0,,937.1474091923542,1680688957.0,0.0
2,2.0,937.1474091923542,114,0.0,2.0,2,,433.38,0,0.5,,,,20971,16384,,0.0,503.76,8416.0,62,,7968.0,,937.1474091923542,1680688958.0,0.0
2,2.0,937.1474091923542,115,0.0,2.0,3,,433.38,0,6.67,,,,759,0,,16.67,503.76,8416.0,63,,7968.0,,937.1474091923542,1680688959.0,0.0
2,3.0,937.1474091923542,116,0.0,3.0,3,656.5427210895867,433.38,0,6.19,0.0,1.0,48928.0,1874,0,2.0,15.48,503.76,0.0,64,24.954964046832174,0.0,16384.0,937.1474091923542,1680688960.0,0.0
2,3.0,937.1474091923542,117,0.0,3.0,3,,433.38,0,5.72,,,,2993,0,,14.29,503.76,0.0,65,,0.0,,937.1474091923542,1680688961.0,0.0
2,3.0,937.1474091923542,119,0.0,3.0,3,,433.38,0,5.24,,,,4104,0,,13.1,503.76,0.0,66,,0.0,,937.1474091923542,1680688963.0,0.0
2,3.0,937.1474091923542,123,0.0,3.0,3,,433.38,0,3.63,,,,7877,0,,9.08,503.76,0.0,67,,0.0,,937.1474091923542,1680688967.0,0.0
2,3.0,937.1474091923542,124,0.0,3.0,3,,433.38,0,3.22,,,,8833,0,,8.06,503.76,0.0,68,,0.0,,937.1474091923542,1680688968.0,0.0
2,3.0,937.1474091923542,125,0.0,3.0,3,,433.38,0,2.82,,,,9786,0,,7.04,503.76,0.0,69,,0.0,,937.1474091923542,1680688969.0,0.0
2,3.0,937.1474091923542,126,0.0,3.0,3,,433.38,0,2.41,,,,10739,0,,6.02,503.76,0.0,70,,0.0,,937.1474091923542,1680688970.0,0.0
