_step,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,_timestamp,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/num_clients,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/num_peers,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated
49,1.0,,250.92,251.18,1680698300.0,1.0,1,0.0,10.0,0,973.0413048248577,973.0413048248577,1.0,1.0,0.0,0.0,239.41,112,,,,1760.0,1664.0,,,0.0,25.25,1696.0,1760.0,4,,246.9,8198,8032
50,1.0,,251.06,223.79,1680698302.0,1.0,1,0.0,10.0,0,973.9406967205521,973.9406967205521,1.0,1.0,0.0,0.0,247.47,114,,,,2048.0,1984.0,,,0.0,24.04,1984.0,2016.0,4,,250.73,9354,9216
51,1.0,,251.39,219.94,1680698303.0,1.0,1,0.0,10.0,0,993.017186059112,993.017186059112,1.0,1.0,0.0,0.0,250.31,115,,,,2368.0,2272.0,,,0.0,22.35,2304.0,2272.0,4,,252.3,10572,10400
52,1.0,,251.44,238.29,1680698304.0,1.0,1,0.0,10.0,0,1001.9952089940474,1001.9952089940474,1.0,1.0,0.0,0.0,251.18,116,,,,2656.0,2592.0,,,0.0,20.93,2592.0,2560.0,4,,252.12,11796,11648
53,1.0,,251.42,246.38,1680698305.0,1.0,1,0.0,10.0,0,1004.4968474427297,1004.4968474427297,1.0,1.0,0.0,0.0,251.77,117,,,,2976.0,2880.0,,,0.0,19.67,2912.0,2880.0,4,,252.43,13014,12832
54,1.0,,250.72,249.21,1680698306.0,1.0,1,0.0,10.0,0,1004.6874075365996,1004.6874075365996,1.0,1.0,0.0,0.0,251.99,118,,,,3264.0,3200.0,,,0.0,18.45,3200.0,3168.0,4,,252.58,14227,14080
55,1.0,,249.85,250.16,1680698308.0,1.0,1,0.0,9.84,0,1006.168860354828,1006.168860354828,1.0,1.0,0.0,0.0,252.11,120,,,,3584.0,3488.0,,,0.0,17.21,3520.0,3488.0,4,,252.57,15448,15264
56,1.0,,250.77,250.85,1680698309.0,1.0,1,0.0,9.13,0,1007.2222081351944,1007.2222081351944,1.0,1.0,0.0,0.0,252.09,121,,,,3872.0,3808.0,,,0.0,15.98,3808.0,3776.0,4,,252.46,16676,16544
57,1.0,,251.18,251.19,1680698310.0,1.0,1,0.0,8.44,0,1007.5335338673162,1007.5335338673162,1.0,1.0,0.0,0.0,252.21,122,,,,4192.0,4128.0,,,0.0,14.76,4128.0,4096.0,4,,252.64,17895,17696
58,1.0,,251.37,251.34,1680698311.0,1.0,1,0.0,7.74,0,1007.2223830519242,1007.2223830519242,1.0,1.0,0.0,0.0,252.2,123,,,,4480.0,4416.0,,,0.0,13.55,4416.0,4384.0,4,,252.62,19121,18976
59,1.0,,251.15,251.39,1680698312.0,1.0,1,0.0,7.06,0,1006.5099515494356,1006.5099515494356,1.0,1.0,0.0,0.0,252.05,124,,,,4800.0,4736.0,,,0.0,12.35,4736.0,4704.0,4,,252.64,20341,20160
60,1.0,,251.02,251.47,1680698314.0,1.0,1,0.0,6.37,0,1005.7422377781847,1005.7422377781847,1.0,1.0,0.0,0.0,251.79,126,,,,5088.0,5024.0,,,0.0,11.15,5056.0,4992.0,4,,252.23,21557,21408
61,1.0,,250.57,251.23,1680698315.0,1.0,1,0.0,5.68,0,1005.9817056819847,1005.9817056819847,1.0,1.0,0.0,0.0,251.62,127,,,,5408.0,5344.0,,,0.0,9.94,5344.0,5312.0,4,,252.32,22768,22592
62,1.0,,250.86,250.99,1680698316.0,1.0,1,0.0,4.99,0,1005.7335681430156,1005.7335681430156,1.0,1.0,0.0,0.0,251.83,128,,,,5696.0,5632.0,,,0.0,8.74,5664.0,5600.0,4,,252.3,23979,23840
63,1.0,,251.19,250.86,1680698317.0,1.0,1,0.0,4.3,0,1005.8817292994744,1005.8817292994744,1.0,1.0,0.0,0.0,251.39,129,,,,6016.0,5952.0,,,0.0,7.53,5952.0,5920.0,4,,252.29,25194,25024
64,1.0,,250.86,250.69,1680698319.0,1.0,1,0.0,3.5,0,1005.8511264260023,1005.8511264260023,1.0,1.0,0.0,0.0,251.74,131,,,,6304.0,6240.0,,,0.0,6.13,6272.0,6208.0,4,,252.59,26602,26272
65,1.0,,251.21,250.73,1680698320.0,1.0,1,0.0,2.81,0,1005.4652757883566,1005.4652757883566,1.0,1.0,0.0,0.0,251.39,132,,,,6624.0,6560.0,,,0.0,4.92,6560.0,6528.0,4,,252.52,27821,27680
66,1.0,,251.08,250.65,1680698321.0,1.0,1,0.0,2.12,0,1004.7288213280644,1004.7288213280644,1.0,1.0,0.0,0.0,251.47,133,,,,6976.0,6912.0,,,0.0,3.71,6912.0,6880.0,4,,252.27,29037,28864
67,1.0,,250.83,250.56,1680698322.0,1.0,1,0.0,1.43,0,1004.2820565177708,1004.2820565177708,1.0,1.0,0.0,0.0,251.2,134,,,,7264.0,7200.0,,,0.0,2.5,7232.0,7168.0,4,,252.14,30256,30112
68,1.0,,250.61,250.68,1680698324.0,1.0,1,0.0,0.74,0,1003.8799905767191,1003.8799905767191,1.0,1.0,0.0,0.0,251.1,136,,,,7584.0,7520.0,,,0.0,1.29,7520.0,7488.0,4,,251.89,31476,31264
69,1.0,,250.6,250.19,1680698325.0,1.0,1,0.0,0.5,0,979.6600449286987,979.6600449286987,1.0,1.0,0.0,0.0,251.16,137,,,,7840.0,7808.0,,,0.0,0.16,7840.0,7776.0,4,,251.92,32606,32448
70,1.0,,226.19,250.08,1680698326.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.36,138,,,,8096.0,8128.0,,,0.0,0.0,8128.0,8096.0,4,,252.03,33806,32864
71,1.0,,232.28,250.14,1680698327.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,139,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,34998,32864
72,1.0,,232.28,250.14,1680698328.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,140,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,36183,32864
73,1.0,,232.28,250.14,1680698330.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,142,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,37371,32864
74,1.0,,232.28,250.14,1680698331.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,143,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,38562,32864
75,1.0,,232.28,250.14,1680698332.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,144,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,39752,32864
76,1.0,,232.28,250.14,1680698333.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,145,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,40946,32864
77,1.0,,232.28,250.14,1680698334.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,146,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,42131,32864
78,1.0,,232.28,250.14,1680698336.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,148,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,43325,32864
79,1.0,,232.28,250.14,1680698337.0,1.0,1,0.0,0.5,0,985.7275152370563,985.7275152370563,1.0,1.0,0.0,0.0,251.44,149,,,,8192.0,8224.0,,,0.0,0.0,8256.0,8192.0,4,,251.88,44519,32864
