03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_accumulated,_step,04_peers/peer_5_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_2_epoch,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_2_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_8_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_6_samples_per_second,_timestamp,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_1_samples_accumulated,04_peers/peer_7_samples_accumulated,03_hivemind/epoch_s,03_hivemind/eta_next_epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/undershot_TBS,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_7_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated
,,1165.0,0.0,23,4.0,0.0,4.0,,0.0,0.0,1150.0,113,8,4.0,0.0,0.0,39354,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050909.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,24,4.0,0.0,4.0,,0.0,0.0,1150.0,119,8,4.0,0.0,0.0,90215,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050915.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,25,4.0,0.0,4.0,,0.0,0.0,1150.0,120,8,4.0,0.0,0.0,99409,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050916.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,26,4.0,0.0,4.0,,0.0,0.0,1150.0,121,8,4.0,0.0,0.0,108593,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050917.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,27,4.0,0.0,4.0,,0.0,0.0,1150.0,122,8,4.0,0.0,0.0,117736,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050918.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,28,4.0,0.0,4.0,,0.0,0.0,1150.0,123,8,4.0,0.0,0.0,126938,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050919.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,29,4.0,0.0,4.0,,0.0,0.0,1150.0,124,8,4.0,0.0,0.0,136179,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050920.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,30,4.0,0.0,4.0,,0.0,0.0,1150.0,125,8,4.0,0.0,0.0,145425,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050921.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,31,4.0,0.0,4.0,,0.0,0.0,1150.0,126,8,4.0,0.0,0.0,154594,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050922.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,32,4.0,0.0,4.0,,0.0,0.0,1150.0,127,8,4.0,0.0,0.0,163750,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050923.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,33,4.0,0.0,4.0,,0.0,0.0,1150.0,128,8,4.0,0.0,0.0,172924,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050924.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,34,4.0,0.0,4.0,,0.0,0.0,1150.0,129,8,4.0,0.0,0.0,182100,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050925.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,35,4.0,0.0,4.0,,0.0,0.0,1150.0,130,8,4.0,0.0,0.0,191301,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050926.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,36,4.0,0.0,4.0,,0.0,0.0,1150.0,131,8,4.0,0.0,0.0,200465,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050927.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,37,4.0,0.0,4.0,,0.0,0.0,1150.0,132,8,4.0,0.0,0.0,209591,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050928.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,38,4.0,0.0,4.0,,0.0,0.0,1150.0,133,8,4.0,0.0,0.0,218743,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050929.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,39,4.0,0.0,4.0,,0.0,0.0,1150.0,134,8,4.0,0.0,0.0,227992,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050930.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,40,4.0,0.0,4.0,,0.0,0.0,1150.0,135,8,4.0,0.0,0.0,237246,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050931.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,41,4.0,0.0,4.0,,0.0,0.0,1150.0,136,8,4.0,0.0,0.0,246461,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050932.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,42,4.0,0.0,4.0,,0.0,0.0,1150.0,137,8,4.0,0.0,0.0,255606,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050933.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,43,4.0,0.0,4.0,,0.0,0.0,1150.0,138,8,4.0,0.0,0.0,264804,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050934.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,44,4.0,0.0,4.0,,0.0,0.0,1150.0,139,8,4.0,0.0,0.0,273984,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050935.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,45,4.0,0.0,4.0,,0.0,0.0,1150.0,140,8,4.0,0.0,0.0,283133,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050936.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,46,4.0,0.0,4.0,,0.0,0.0,1150.0,142,8,4.0,0.0,0.0,292291,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050938.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,47,4.0,0.0,4.0,,0.0,0.0,1150.0,143,8,4.0,0.0,0.0,301428,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050939.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,48,4.0,0.0,4.0,,0.0,0.0,1150.0,144,8,4.0,0.0,0.0,310621,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050940.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
,,1165.0,0.0,49,4.0,0.0,4.0,,0.0,0.0,1150.0,145,8,4.0,0.0,0.0,319787,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050941.0,4.0,4.0,0.0,0.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,4.0,4,,,830.22,0.0,0.0
