process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,_runtime,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_five_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,_timestamp,01_general/lr,02_timing/step_time_s,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,_step,01_general/step,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,01_general/minibatch_loss,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/backward_time_s,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/opt_step_time_s,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB
,,,,,6,0.0,0.0025004599999647326,,,,,,,,1680687171.0,0.0001,0.041054208999867114,0.0001760889999786741,,,0.0,,640.0,,26,19.0,,0.018179487999987032,,0.002380889999926694,,,7.3231201171875,,,,0.01624402300001293,,,,,1.0,0.0015732589999970514,,
,,,,,6,0.0,0.0007840530000748913,,,,,,,,1680687171.0,0.0001,0.039936736000072415,0.00019503199996506737,,,0.0,,672.0,,27,20.0,,0.018269269000029453,,0.002358305000029759,,,7.1627197265625,,,,0.01675367300003927,,,,,1.0,0.001576403999933973,,
,,,,,6,0.0,0.0025490479999916715,,,,,,,,1680687171.0,0.0001,0.04162258900009874,0.00017906100003983738,,,0.0,,704.0,,28,21.0,,0.01830149900001743,,0.0023589600000377686,,,7.1337890625,,,,0.01664872700007436,,,,,1.0,0.0015852939999376758,,
,,,,,6,0.0,0.0007757650000712601,,,,,,,,1680687171.0,0.0001,0.04995508600029552,0.0001842529999294129,,,0.0,,736.0,,29,22.0,,0.018212243000107264,,0.002402568000093197,,,7.010009765625,,,,0.026742191000039384,,,,,1.0,0.0016380660000550051,,
,,,,,6,0.0,0.002529790000039611,,,,,,,,1680687171.0,0.0001,0.04137257600029898,0.000185046000069633,,,0.0,,768.0,,30,23.0,,0.018297879000101602,,0.002364229000022533,,,7.0654296875,,,,0.016374411000015243,,,,,1.0,0.0016212210000503546,,
,,,,,6,0.0,0.0007590899999740941,,,,,,,,1680687171.0,0.0001,0.039638927000055446,0.00017109400005210773,,,0.0,,800.0,,31,24.0,,0.018188398999996025,,0.0023270699999784483,,,6.9801025390625,,,,0.016579951000039728,,,,,1.0,0.0016133230000150434,,
1048.0,3.773770719559909,20490.706944,340843.0,123.0,6,,,4877.037568,,0.0,0.0,0.9666666666666666,484.57150340186917,2.719744,1680687171.0,,,0.00018144000000575033,3.3,87803.0,,0.0,,1095.356416,32,,,0.021492130999945402,0.1559999999999917,0.002319676999945841,1.5666666666666667,0.0,,49110.0,0.07355995031601463,0.7333333333333333,,204194.045952,0.04699999999991178,0.0,142.0,,,5778.276352,4236.402688
,,,,,6,0.0,0.002656010000009701,,,,,,,,1680687171.0,0.0001,0.0453373709999596,,,,0.0,,832.0,,33,25.0,,,,,,,7.052978515625,,,,0.01705237099997703,,,,,1.0,0.0016357420000758793,,
,,,,,6,0.0,0.0005111650000344525,,,,,,,,1680687171.0,0.0001,0.03965143200002785,0.00018941399991945218,,,0.0,,864.0,,34,26.0,,0.01817022399995949,,0.0024279570000089734,,,6.9053955078125,,,,0.01672394400009125,,,,,1.0,0.0016287280000142346,,
,,,,,6,0.0,0.010939485999983845,,,,,,,,1680687171.0,0.0001,0.05012328499992691,0.00020124100001339684,,,0.0,,896.0,,35,27.0,,0.018437520000020413,,0.002323432000025605,,,7.170654296875,,,,0.016578141999957552,,,,,1.0,0.001643463999926098,,
,,,,,6,0.0,0.0005009679999830041,,,,,,,,1680687171.0,0.0001,0.039616157999944335,0.0002132249999249325,,,0.0,,928.0,,36,28.0,,0.01822826400007216,,0.0024068149999720845,,,7.1915283203125,,,,0.016623101999925893,,,,,1.0,0.0016437840000662618,,
,,,,,7,0.0,0.003912132999971618,,,,,,,,1680687172.0,0.0001,0.043301280999912706,0.0002356180000333552,,,0.0,,960.0,,37,29.0,,0.018387721999943096,,0.00225802099998873,,,7.056884765625,,,,0.0168406259999756,,,,,1.0,0.0016671610000003056,,
,,,,,7,0.0,0.0008327890000145999,,,,,,,,1680687172.0,0.0001,0.03985598100018706,0.0001804050000373536,,,0.0,,992.0,,38,30.0,,0.018397590000063246,,0.002426998000032654,,,6.9344482421875,,,,0.016372154000009687,,,,,1.0,0.0016460450000295168,,
,,,,,7,0.0,0.0060972100000071805,,,,,,,,1680687172.0,0.0001,0.044924446999971224,0.00020008500007406838,,,0.0,,1024.0,,39,31.0,,0.018302654999956758,,0.0022786259999065805,,,7.0811767578125,,,,0.016402714000037122,,,,,1.0,0.0016431569999895146,,
,,,,,7,0.0,0.011967911999931857,,,,,,,,1680687172.0,0.0001,0.05160353899975689,0.00020108999990497978,,,0.0,,1056.0,,40,32.0,,0.018486672999983966,,0.0022880259999737973,,,7.063232421875,,,,0.01698879200000647,,,,,1.0,0.0016710459999558225,,
,,,,,7,0.0,0.00887208599999667,,,,,,,,1680687172.0,0.0001,0.05008825199979583,0.0002122789999248198,,,0.0,,1088.0,,41,33.0,,0.01842871400003787,,0.002213045999951646,,,7.1473388671875,,,,0.01872762599998623,,,,,2.0,0.0016345009998985915,,
