_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
38,38,,,1696170153,5.75,0.0030000000000001137,2.4279999999999973,8072.998912,161.63504982974524,341671.0,0.9698037860496179,2911.051776,1640.0,7542.222848,3.0,0.0,0.0,9.5,149939.0,0.22798442336109973,21057.462272,2.654208,20641.0,99.88400000000001,5581.06624,0.0,544716.0,33.3,6.75,35392.970752,93.0,,,,,,,,,,,,,,
39,39,,,1696170154,5.75,0.0030000000000001137,3.4279999999999973,8070.782976,161.44453020391995,343556.0,0.98880861362443,2911.051776,2276.0,7542.222848,3.0,0.0,0.0,9.5,151239.0,0.2911419765775348,21059.674112,2.654208,20641.0,146.48099999999977,5581.06624,0.0,546832.0,33.3,6.75,35392.970752,93.0,,,,,,,,,,,,,,
40,40,,,1696170155,5.75,0.0030000000000001137,4.432000000000002,8070.926336,161.32888014211846,344761.0,0.9168654995180062,2911.051776,2897.0,7542.222848,3.0,0.0,0.0,9.5,152432.0,0.20803434108923383,21059.530752,2.654208,20641.0,195.26499999999987,5581.06624,0.0,548433.0,33.3,6.75,35392.970752,93.0,,,,,,,,,,,,,,
41,41,,,1696170156,5.75,0.0030000000000001137,5.432000000000002,8071.426048,161.13861741994612,347010.0,1.149115476397402,2911.051776,3520.0,7542.222848,3.0,0.0,0.0,9.5,154041.0,0.5013338584877036,21059.026944,2.654208,20641.0,240.70399999999972,5581.06624,0.0,551123.0,33.3,6.75,35392.970752,93.0,,,,,,,,,,,,,,
42,42,,,1696170157,5.75,0.0030000000000001137,6.168000000000006,8072.118272,118.52561398840393,348373.0,0.9676985574714876,2911.051776,3981.0,7542.222848,3.0,0.0,0.0,9.5,155161.0,0.2309128311271944,21058.338816,2.654208,20641.0,276.7329999999997,5581.06624,0.0,552922.0,33.3,6.75,35392.970752,93.0,,,,,,,,,,,,,,
43,43,,,1696170158,5.875,0.0030000000000001137,6.171999999999997,8180.801536,0.004085631779221045,358005.0,215.61194766214595,2911.051776,3982.0,7542.222848,3.0,0.0,0.0,9.75,157340.0,35.35582056694964,20949.659648,2.654208,20641.0,276.7339999999999,5581.06624,0.0,559658.0,33.6,6.875000000000001,35392.970752,93.0,,,,,,,,,,,,,,
44,44,,,1696170159,5.875,0.0030000000000001137,6.176000000000002,8180.801536,0.0040850566601200716,359209.0,1.2194372846329216,2911.051776,3983.0,7542.222848,3.0,0.0,0.0,9.75,157883.0,0.22604246137394765,20949.659648,2.654208,20641.0,276.7350000000001,5581.06624,0.0,560626.0,33.6,6.875000000000001,35392.970752,93.0,,,,,,,,,,,,,,
45,45,,,1696170160,5.875,0.0030000000000001137,6.1839999999999975,8180.96128,0.004085422892382856,359963.0,0.20535633504664036,2911.051776,3984.0,7542.222848,3.0,0.0,0.0,9.75,158185.0,0.12449368741398965,20949.499904,2.654208,20641.0,276.7359999999999,5581.06624,0.0,561210.0,33.6,6.875000000000001,35392.970752,93.0,,,,,,,,,,,,,,
46,46,,,1696170161,5.875,0.0030000000000001137,6.192000000000007,8196.13696,0.061286065354196326,361839.0,12.85622052013075,2911.051776,3987.0,7542.222848,3.0,0.0,0.0,9.75,158809.0,37.12289295484452,20934.320128,2.654208,20641.0,276.73799999999983,5581.06624,0.0,562598.0,33.7,6.875000000000001,35392.970752,93.0,,,,,,,,,,,,,,
47,47,,,1696170162,5.875,0.0030000000000001137,6.195999999999998,8299.773952,0.00408393991152221,371751.0,84.82264228239114,2911.051776,3988.0,7542.222848,3.0,0.0,0.0,9.75,161300.0,216.70910263818354,20830.687232,2.654208,20641.0,276.73900000000003,5581.06624,0.0,569481.0,34.0,6.875000000000001,35392.970752,93.0,,,,,,,,,,,,,,
