04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_5_samples_per_second,04_peers/peer_6_samples_accumulated,_timestamp,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,03_hivemind/total_training_samples,04_peers/peer_5_epoch,03_hivemind/overshot_TBS,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_8_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_7_epoch,04_peers/peer_8_samples_accumulated,04_peers/peer_6_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_step,04_peers/peer_2_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_runtime,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos
234.0,238.17,232.33,3872.0,1683051423.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,231.19,,8,1.0,1.0,3744.0,0.0,226.21,3904.0,234.3,3904.0,3872.0,32864,1.0,,236.77,234.77,1865.7304754238723,1865.7304754238723,30,1.0,3968.0,,0.5,3936.0,3968.0,1.0,0.0,0.0,0.0,34169,120,,,0.0
233.5,237.47,232.33,4096.0,1683051425.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,229.45,,8,1.0,1.0,3936.0,0.0,228.21,4096.0,233.76,4128.0,4096.0,32864,1.0,,237.35,233.66,1865.7304754238723,1865.7304754238723,31,1.0,4192.0,,0.5,4160.0,4160.0,1.0,0.0,0.0,0.0,36782,122,,,0.0
233.5,237.47,232.33,4096.0,1683051426.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,229.45,,8,1.0,1.0,3936.0,0.0,228.21,4096.0,233.76,4128.0,4096.0,32864,1.0,,237.35,233.66,1865.7304754238723,1865.7304754238723,32,1.0,4192.0,,0.5,4160.0,4160.0,1.0,0.0,0.0,0.0,39397,123,,,0.0
233.5,237.47,232.33,4096.0,1683051428.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,229.45,,8,1.0,1.0,3936.0,0.0,228.21,4096.0,233.76,4128.0,4096.0,32864,1.0,,237.35,233.66,1865.7304754238723,1865.7304754238723,33,1.0,4192.0,,0.5,4160.0,4160.0,1.0,0.0,0.0,0.0,42020,125,,,0.0
233.5,237.47,232.33,4096.0,1683051429.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,229.45,,8,1.0,1.0,3936.0,0.0,228.21,4096.0,233.76,4128.0,4096.0,32864,1.0,,237.35,233.66,1865.7304754238723,1865.7304754238723,34,1.0,4192.0,,0.5,4160.0,4160.0,1.0,0.0,0.0,0.0,44641,126,,,0.0
233.5,237.47,232.33,4096.0,1683051430.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,229.45,,8,1.0,1.0,3936.0,0.0,228.21,4096.0,233.76,4128.0,4096.0,32864,1.0,,237.35,233.66,1865.7304754238723,1865.7304754238723,35,1.0,4192.0,,0.5,4160.0,4160.0,1.0,0.0,0.0,0.0,47280,127,,,0.0
233.5,237.47,232.33,4096.0,1683051432.0,1.0,1.0,2,,1.0,,0.0,0.0,0,0.0,0.0,229.45,,8,1.0,1.0,3936.0,0.0,228.21,4096.0,233.76,4128.0,4096.0,2048,1.0,,237.35,233.66,1852.2776404837348,1852.2776404837348,36,1.0,4192.0,,10.0,4160.0,4160.0,1.0,0.0,0.0,16.38,2431,129,,,0.0
234.65,235.91,230.77,224.0,1683051433.0,2.0,2.0,2,65760.0,2.0,2.0,0.0,0.0,0,0.0,0.0,226.48,25.24824594706297,8,2.0,2.0,224.0,0.0,225.72,256.0,230.46,256.0,256.0,4768,2.0,1301.6349757089934,234.21,234.07,1874.9590176747784,1874.9590176747784,37,2.0,288.0,32864.0,10.0,224.0,320.0,2.0,0.0,0.0,14.78,5065,130,0.0,0.0,0.0
236.84,236.93,233.44,576.0,1683051435.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,229.56,,8,2.0,2.0,544.0,0.0,231.75,608.0,235.04,576.0,608.0,7328,2.0,,235.34,236.05,1878.4512927724027,1878.4512927724027,38,2.0,640.0,,9.71,576.0,640.0,2.0,0.0,0.0,13.35,7689,132,,,0.0
237.26,234.96,234.27,896.0,1683051436.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,231.98,,8,2.0,2.0,864.0,0.0,233.83,928.0,233.84,896.0,928.0,9920,2.0,,235.47,236.85,1881.2518320658896,1881.2518320658896,39,2.0,960.0,,8.67,896.0,960.0,2.0,0.0,0.0,11.92,10336,133,,,0.0
236.37,234.32,234.89,1216.0,1683051437.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,232.91,,8,2.0,2.0,1184.0,0.0,234.34,1248.0,235.65,1248.0,1248.0,12576,2.0,,235.54,237.24,1877.9746725857751,1877.9746725857751,40,2.0,1280.0,,7.68,1216.0,1280.0,2.0,0.0,0.0,10.56,12945,134,,,0.0
236.13,234.28,234.44,1568.0,1683051439.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,232.14,,8,2.0,2.0,1504.0,0.0,232.25,1568.0,235.7,1568.0,1568.0,15232,2.0,,235.29,237.74,1874.4662358037294,1874.4662358037294,41,2.0,1600.0,,6.68,1568.0,1632.0,2.0,0.0,0.0,9.18,15564,136,,,0.0
235.36,233.35,234.6,1888.0,1683051440.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,232.54,,8,2.0,2.0,1824.0,0.0,232.4,1920.0,234.36,1920.0,1888.0,17856,2.0,,234.08,237.78,1873.7212885476042,1873.7212885476042,42,2.0,1952.0,,5.66,1888.0,1952.0,2.0,0.0,0.0,7.78,18185,137,,,0.0
235.37,233.87,234.05,2208.0,1683051442.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,233.22,,8,2.0,2.0,2176.0,0.0,232.28,2240.0,234.15,2240.0,2240.0,20384,2.0,,234.44,236.34,1866.0228917715103,1866.0228917715103,43,2.0,2272.0,,4.67,2208.0,2272.0,2.0,0.0,0.0,6.42,20794,139,,,0.0
233.94,234.96,233.37,2528.0,1683051443.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,232.68,,8,2.0,2.0,2496.0,0.0,225.78,2560.0,234.43,2560.0,2528.0,23008,2.0,,235.53,235.32,1859.070857362474,1859.070857362474,44,2.0,2592.0,,3.67,2528.0,2592.0,2.0,0.0,0.0,5.05,23379,140,,,0.0
234.46,235.5,230.42,2880.0,1683051444.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,233.39,,8,2.0,2.0,2816.0,0.0,218.74,2880.0,235.72,2880.0,2848.0,25600,2.0,,235.85,234.98,1855.8018512011731,1855.8018512011731,45,2.0,2912.0,,2.66,2880.0,2912.0,2.0,0.0,0.0,3.66,25975,141,,,0.0
230.56,233.76,231.69,3200.0,1683051446.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,232.89,,8,2.0,2.0,3136.0,0.0,219.62,3200.0,236.57,3232.0,3136.0,28224,2.0,,235.91,234.79,1858.9381951558437,1858.9381951558437,46,2.0,3264.0,,1.63,3200.0,3232.0,2.0,0.0,0.0,2.25,28593,143,,,0.0
225.34,233.19,231.67,3520.0,1683051447.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,232.19,,8,2.0,2.0,3456.0,0.0,228.56,3520.0,236.08,3552.0,3488.0,30816,2.0,,236.31,235.6,1850.0626379584207,1850.0626379584207,47,2.0,3584.0,,0.63,3520.0,3584.0,2.0,0.0,0.0,0.86,31174,144,,,0.0
224.37,228.96,232.69,3872.0,1683051449.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,230.79,,8,2.0,2.0,3776.0,0.0,231.39,3840.0,236.09,3872.0,3808.0,32896,2.0,,229.13,236.63,1848.8883303092648,1848.8883303092648,48,2.0,3904.0,,0.5,3840.0,3904.0,2.0,0.0,0.0,0.0,33768,146,,,0.0
230.57,230.7,231.48,4128.0,1683051450.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,231.9,,8,2.0,2.0,4064.0,0.0,231.33,4096.0,234.67,4128.0,4064.0,32896,2.0,,232.88,225.35,1848.8883303092648,1848.8883303092648,49,2.0,4160.0,,0.5,4096.0,4160.0,2.0,0.0,0.0,0.0,36363,147,,,0.0
230.57,230.7,231.48,4128.0,1683051451.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,231.9,,8,2.0,2.0,4064.0,0.0,231.33,4096.0,234.67,4128.0,4064.0,32896,2.0,,232.88,225.35,1848.8883303092648,1848.8883303092648,50,2.0,4160.0,,0.5,4096.0,4160.0,2.0,0.0,0.0,0.0,38951,148,,,0.0
230.57,230.7,231.48,4128.0,1683051453.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,231.9,,8,2.0,2.0,4064.0,0.0,231.33,4096.0,234.67,4128.0,4064.0,32896,2.0,,232.88,225.35,1848.8883303092648,1848.8883303092648,51,2.0,4160.0,,0.5,4096.0,4160.0,2.0,0.0,0.0,0.0,41547,150,,,0.0
230.57,230.7,231.48,4128.0,1683051454.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,231.9,,8,2.0,2.0,4064.0,0.0,231.33,4096.0,234.67,4128.0,4064.0,32896,2.0,,232.88,225.35,1848.8883303092648,1848.8883303092648,52,2.0,4160.0,,0.5,4096.0,4160.0,2.0,0.0,0.0,0.0,44137,151,,,0.0
230.57,230.7,231.48,4128.0,1683051456.0,2.0,2.0,2,,2.0,,0.0,0.0,0,0.0,0.0,231.9,,8,2.0,2.0,4064.0,0.0,231.33,4096.0,234.67,4128.0,4064.0,32896,2.0,,232.88,225.35,1848.8883303092648,1848.8883303092648,53,2.0,4160.0,,0.5,4096.0,4160.0,2.0,0.0,0.0,0.0,46841,153,,,0.0
230.57,230.7,231.48,4128.0,1683051457.0,2.0,2.0,3,,2.0,,0.0,0.0,0,0.0,0.0,231.9,,8,2.0,2.0,4064.0,0.0,231.33,4096.0,234.67,4128.0,4064.0,1344,2.0,,232.88,225.35,1828.3527555836133,1828.3527555836133,54,2.0,4160.0,,10.0,4096.0,4160.0,2.0,0.0,0.0,17.0,1691,154,,,0.0
229.92,231.72,229.96,128.0,1683051458.0,3.0,3.0,3,98656.0,3.0,3.0,0.0,0.0,0,0.0,0.0,226.82,25.279047548770905,8,3.0,3.0,128.0,0.0,226.77,160.0,228.96,160.0,192.0,3840,3.0,1301.3148512234766,230.7,223.51,1826.0805766255282,1826.0805766255282,55,3.0,224.0,32896.0,10.0,160.0,192.0,3.0,0.0,0.0,15.63,4226,155,0.0,0.0,0.0
232.11,235.24,233.64,448.0,1683051460.0,3.0,3.0,3,,3.0,,0.0,0.0,0,0.0,0.0,220.5,,8,3.0,3.0,416.0,0.0,215.47,480.0,226.94,480.0,480.0,6432,3.0,,233.59,228.59,1851.332323690863,1851.332323690863,56,3.0,544.0,,10.0,480.0,512.0,3.0,0.0,0.0,14.01,6836,157,,,0.0
