_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
25,24,,,1696112721,6.25,0.0,0.132000000000005,3182.927872,0.004086111820084455,14512.0,0.026599630259834552,1114.464256,38.0,3109.29408,0.0,0.0,0.0,0.375,6463.0,0.002737375689213302,28918.980608,2.711552,738.0,0.023000000000138243,3286.163456,0.0,100395.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
26,25,,,1696112722,6.25,0.0,0.1360000000000241,3182.923776,0.0040859650755306065,14912.0,0.06431404792976451,1114.464256,39.0,3109.330944,0.0,0.0,0.0,0.375,6664.0,0.010869305538468946,28918.980608,2.711552,738.0,0.023000000000138243,3286.163456,0.0,100684.0,12.8,5.125,14637.965312,27.0,,,,,,,,,,,,,,
27,26,,,1696112723,6.25,0.0,0.14400000000000546,3183.181824,0.012257478345718721,15273.0,0.006136719299247717,1114.464256,42.0,3109.330944,0.0,0.0,0.0,0.375,6823.0,0.005242944828033727,28918.72256,2.711552,738.0,0.02500000000009095,3286.163456,0.0,100933.0,12.8,5.125,14637.965312,27.0,,,,,,,,,,,,,,
28,27,,,1696112724,6.25,0.0,0.14800000000002456,3183.177728,0.036772697395424554,15668.0,0.05159190292739404,1114.464256,45.0,3109.330944,0.0,0.0,0.0,0.375,7001.0,0.013550355942327019,28918.72256,2.711552,738.0,0.027000000000043656,3286.163456,0.0,101214.0,12.8,5.125,14637.965312,27.0,,,,,,,,,,,,,,
29,28,,,1696112725,6.25,0.0,0.15200000000004366,3183.947776,0.004085844577950533,16143.0,0.0644557942408591,1114.464256,46.0,3109.330944,0.0,0.0,0.0,0.375,7223.0,0.007126287517717773,28917.956608,2.711552,739.0,0.027000000000043656,3286.163456,0.0,101551.0,12.8,5.125,14637.965312,27.0,,,,,,,,,,,,,,
30,29,,,1696112726,6.25,0.0,0.1560000000000059,3183.939584,0.0040862682944317556,16469.0,0.05011265354690474,1114.464256,47.0,3109.330944,0.0,0.0,0.0,0.375,7405.0,0.01225880487966593,28917.956608,2.711552,739.0,0.028000000000247383,3286.163456,0.0,101778.0,12.8,5.125,14637.965312,27.0,,,,,,,,,,,,,,
31,30,,,1696112727,6.25,0.0,0.160000000000025,3183.939584,0.004086412144776492,16776.0,0.00561083542582236,1114.464256,48.0,3109.330944,0.0,0.0,0.0,0.375,7535.0,0.0025141012306102817,28917.960704,2.711552,739.0,0.028999999999996362,3286.163456,0.0,101992.0,12.8,5.0,14637.965312,27.0,,,,,,,,,,,,,,
32,31,,,1696112728,6.25,0.0,0.17600000000004457,3184.18944,0.5311460260565908,17481.0,0.12146294565348487,1114.464256,141.0,3109.330944,0.0,0.0,0.0,0.375,7901.0,0.13051221839023583,28917.714944,2.711552,739.0,0.1089999999999236,3286.163456,0.0,102610.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
33,32,,,1696112729,6.25,0.0,0.18000000000000682,3184.181248,0.05311675009601238,17833.0,0.006136836059368597,1114.464256,144.0,3109.330944,0.0,0.0,0.0,0.375,8025.0,0.0039981207664380024,28917.714944,2.711552,739.0,0.11100000000033106,3286.163456,0.0,102837.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
34,33,,,1696112730,6.25,0.0,0.18400000000002592,3184.177152,0.004085836804157161,18158.0,0.006487861956551502,1114.464256,145.0,3109.330944,0.0,0.0,0.0,0.375,8184.0,0.00399805514250765,28917.714944,2.711552,739.0,0.11100000000033106,3286.163456,0.0,103068.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
35,34,,,1696112731,6.25,0.0,0.18799999999998818,3184.177152,0.004086007834444873,18633.0,0.06381993095339812,1114.464256,146.0,3109.330944,0.0,0.0,0.0,0.375,8390.0,0.013319427889355973,28917.714944,2.711552,739.0,0.11200000000008004,3286.163456,0.0,103391.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
36,35,,,1696112732,6.125,0.0,0.19200000000000728,3184.173056,0.0040863382744154905,19008.0,0.006943582612560314,1114.464256,147.0,3109.330944,0.0,0.0,0.0,0.375,8566.0,0.005123885093695122,28917.71904,2.711552,739.0,0.11200000000008004,3286.196224,0.0,103662.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
