_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
51,51,,,1696112289,7.124999999999999,0.0020000000000095497,0.3120000000000118,6179.844096,0.004085661901626445,27807.0,0.051844815178688684,2468.184064,307.0,6746.189824,3.0,0.0,0.0,7.875,14095.0,0.0133183002294453,24568.057856,2.711552,1182.0,0.2670000000002801,5467.746304,0.0,187659.0,25.9,10.0,22065.831936,85.0,,,,,,,,,,,,,,
52,52,,,1696112290,7.124999999999999,0.0020000000000095497,0.3199999999999932,6179.844096,0.03268637570781434,28381.0,0.014930715074588352,2468.184064,313.0,6746.189824,3.0,0.0,0.0,7.875,14333.0,0.009879329367634904,24568.057856,2.711552,1182.0,0.27100000000018554,5467.746304,0.0,188059.0,25.9,10.0,22065.831936,85.0,,,,,,,,,,,,,,
53,53,,,1696112291,7.124999999999999,0.0020000000000095497,0.3240000000000123,6179.844096,0.00408631008774487,28741.0,0.056083009732438016,2468.184064,314.0,6746.189824,3.0,0.0,0.0,7.875,14476.0,0.017087480273634936,24568.057856,2.711552,1182.0,0.2719999999999345,5467.746304,0.0,188322.0,25.9,10.0,22065.831936,85.0,,,,,,,,,,,,,,
54,54,,,1696112292,7.000000000000001,0.0020000000000095497,0.33199999999999363,6266.458112,0.04494405519373144,29222.0,0.0031122481396586928,2468.323328,317.0,6746.390528,3.0,0.0,0.0,7.249999999999999,14971.0,0.0032080096188411705,24481.3824,2.711552,1193.0,0.27400000000034197,5484.793856,0.0,189159.0,26.2,9.75,22216.892416,89.0,,,,,,,,,,,,,,
55,55,,,1696112293,7.000000000000001,0.0020000000000095497,0.33600000000001273,6513.885184,0.004083861276594654,30595.0,0.09232557474599408,2608.504832,318.0,6898.64704,3.0,0.0,0.0,7.249999999999999,15753.0,0.04886276206607232,24217.427968,2.711552,1202.0,0.27400000000034197,5514.776576,0.0,191354.0,27.0,9.75,34683.785216,90.0,1.107999651139835e-06,0.4835707860002003,0.002195690000007744,,,,,,,,,,,
56,56,,,1696112294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0055573630002072605,3.0,2.1737544536590576,0.3361528959999305,1.5097132890000466,0.0,0.0001,0.6822354460000497,0.0,0.0
57,56,,,1696112294,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008020360000955407,0.16266833999998198,0.0029107559998919896,0.0,0.1246529649997683,6.0,2.543666124343872,0.05673874199965212,0.3487098199993852,0.0,0.0001,0.000936980999995285,0.0,1.0
58,56,,,1696112294,7.000000000000001,0.0020000000000095497,0.3480000000000132,6534.111232,0.012245744439286119,31940.0,0.0609098226114765,2620.092416,321.0,6921.1136,3.0,0.0,0.0,7.249999999999999,16484.0,0.03743083993937884,24197.59104,2.711552,1242.0,0.2760000000002947,5526.085632,0.0,192953.0,27.0,9.75,34868.867072,92.0,0.0008297680001305707,0.16485820400021112,0.002963688000363618,,,,,0.06825146000028326,,,,,,
59,57,,,1696112295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.12392531299974507,9.0,2.7422168254852295,,0.36199356100087243,0.0,0.0001,0.0011651280001387931,0.0,2.0
60,57,,,1696112295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009964390001186985,0.16238356600024417,0.0029478090000338852,0.0,0.1254909750000479,12.0,2.089139938354492,0.06931546799978605,0.3618419310000718,0.0,0.0001,0.000707673999841063,0.0,3.0
