_step,04_peers/peer_7_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/num_clients,04_peers/peer_8_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_4_epoch,_runtime,04_peers/peer_1_epoch,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_8_epoch,03_hivemind/reached_TBS,04_peers/peer_7_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_4_samples_accumulated
25,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,62901,,2019.1926085042164,1680701350.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,126,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
26,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,65748,,2019.1926085042164,1680701352.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,128,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
27,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,68582,,2019.1926085042164,1680701353.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,129,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
28,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,71418,,2019.1926085042164,1680701355.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,131,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
29,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,74243,,2019.1926085042164,1680701356.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,132,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
30,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,77059,,2019.1926085042164,1680701357.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,133,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
31,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,79899,,2019.1926085042164,1680701359.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,135,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
32,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,82912,,2019.1926085042164,1680701360.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,136,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
33,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,2912,5120.0,8,0.0,0.0,0.0,10.0,251.11,5216.0,3255,,1698.5550385228514,1680701362.0,0.0,,252.25,5120.0,4192.0,1698.5550385228514,,0.0,138,0.0,0.0,,252.36,4224.0,0.0,1,,0.0,0.0,254.36,252.42,0.0,,0.0,17.38,251.73,4320.0
34,1.0,1.0,0.0,384.0,1.0,0,0.0,213.38,216.82,320.0,4928,352.0,8,1.0,1.0,0.0,10.0,214.86,352.0,5928,32928.0,1808.7213808228032,1680701363.0,0.0,709.8568251583649,212.66,352.0,384.0,1808.7213808228032,46.38681890908629,1.0,139,1.0,0.0,32928.0,212.36,384.0,1.0,1,0.0,0.0,0.0,216.65,197.29,1.0,0.0,0.0,14.84,214.54,384.0
